Freq[Hz]     dBSPL  Phase[Deg]
5.00000     35.571   168.812
5.07273     35.688   168.738
5.14651     35.840   168.644
5.22137     36.042   168.524
5.29732     36.266   168.403
5.37437     36.512   168.271
5.45254     36.758   168.142
5.53185     37.005   168.012
5.61231     37.251   167.881
5.69394     37.497   167.748
5.77676     37.743   167.614
5.86079     37.990   167.478
5.94604     38.236   167.340
6.03252     38.482   167.201
6.12027     38.728   167.059
6.20929     38.975   166.916
6.29961     39.221   166.771
6.39124     39.467   166.624
6.48420     39.713   166.474
6.57851     39.960   166.323
6.67420     40.206   166.170
6.77128     40.452   166.015
6.86977     40.699   165.857
6.96969     40.945   165.698
7.07107     41.191   165.535
7.17392     41.437   165.371
7.27827     41.684   165.204
7.38413     41.930   165.035
7.49154     42.176   164.864
7.60050     42.422   164.690
7.71105     42.669   164.514
7.82321     42.915   164.335
7.93701     43.161   164.153
8.05245     43.407   163.969
8.16958     43.654   163.782
8.28841     43.900   163.593
8.40896     44.146   163.400
8.53128     44.392   163.205
8.65537     44.639   163.007
8.78126     44.885   162.806
8.90899     45.131   162.602
9.03857     45.377   162.395
9.17004     45.624   162.185
9.30342     45.870   161.972
9.43874     46.116   161.756
9.57603     46.362   161.536
9.71532     46.609   161.314
9.85663     46.855   161.088
10.0000     47.101   160.858
10.1455     47.347   160.625
10.2930     47.594   160.389
10.4427     47.840   160.149
10.5946     48.086   159.905
10.7487     48.332   159.658
10.9051     48.579   159.406
11.0637     48.825   159.152
11.2246     49.071   158.893
11.3879     49.318   158.630
11.5535     49.564   158.363
11.7216     49.810   158.092
11.8921     50.056   157.817
12.0650     50.303   157.538
12.2405     50.549   157.254
12.4186     50.795   156.966
12.5992     51.041   156.674
12.7825     51.288   156.377
12.9684     51.534   156.075
13.1570     51.780   155.769
13.3484     52.026   155.458
13.5426     52.273   155.142
13.7395     52.519   154.821
13.9394     52.765   154.495
14.1421     53.011   154.164
14.3478     53.258   153.828
14.5565     53.504   153.487
14.7683     53.750   153.140
14.9831     53.996   152.787
15.2010     54.243   152.429
15.4221     54.489   152.066
15.6464     54.735   151.697
15.8740     54.981   151.323
16.1049     55.228   150.942
16.3392     55.474   150.556
16.5768     55.720   150.164
16.8179     55.966   149.767
17.0626     56.213   149.363
17.3107     56.459   148.955
17.5625     56.705   148.540
17.8180     56.951   148.121
18.0771     57.198   147.697
18.3401     57.444   147.269
18.6068     57.690   146.839
18.8775     57.937   146.408
19.1521     58.183   145.982
19.4306     58.431   145.562
19.7133     58.683   145.151
20.0000     58.942   144.736
20.2909     59.206   144.299
20.5860     59.475   143.832
20.8855     59.752   143.316
21.1893     60.031   142.728
21.4975     60.307   142.064
21.8102     60.577   141.329
22.1274     60.836   140.530
22.4492     61.074   139.712
22.7758     61.293   138.949
23.1071     61.506   138.281
23.4432     61.717   137.733
23.7841     61.942   137.307
24.1301     62.191   136.953
24.4811     62.466   136.606
24.8372     62.768   136.212
25.1984     63.094   135.720
25.5649     63.437   135.102
25.9368     63.803   134.313
26.3141     64.182   133.300
26.6968     64.568   132.019
27.0851     64.951   130.414
27.4791     65.303   128.477
27.8788     65.613   126.269
28.2843     65.868   123.866
28.6957     66.063   121.372
29.1131     66.199   118.894
29.5365     66.283   116.515
29.9661     66.319   114.303
30.4020     66.318   112.315
30.8442     66.292   110.575
31.2929     66.248   109.090
31.7480     66.200   107.846
32.2098     66.147   106.813
32.6783     66.086   106.016
33.1536     66.033   105.474
33.6359     65.991   105.179
34.1251     65.974   105.114
34.6215     65.997   105.210
35.1250     66.062   105.376
35.6359     66.165   105.538
36.1543     66.301   105.633
36.6802     66.466   105.603
37.2137     66.645   105.416
37.7550     66.834   105.056
38.3041     67.021   104.506
38.8613     67.193   103.778
39.4265     67.339   102.912
40.0000     67.449   101.977
40.5818     67.522   101.060
41.1721     67.559   100.231
41.7710     67.556    99.592
42.3785     67.532    99.230
42.9949     67.496    99.189
43.6203     67.462    99.528
44.2548     67.461   100.248
44.8985     67.515   101.272
45.5515     67.643   102.476
46.2141     67.854   103.688
46.8863     68.131   104.762
47.5683     68.467   105.591
48.2602     68.835   106.111
48.9621     69.223   106.326
49.6743     69.625   106.234
50.3968     70.030   105.837
51.1299     70.431   105.138
51.8736     70.819   104.144
52.6281     71.184   102.878
53.3936     71.516   101.375
54.1702     71.805    99.712
54.9581     72.055    97.971
55.7575     72.268    96.211
56.5685     72.450    94.478
57.3914     72.606    92.801
58.2261     72.745    91.180
59.0730     72.860    89.625
59.9323     72.958    88.169
60.8040     73.047    86.816
61.6884     73.126    85.574
62.5857     73.207    84.444
63.4960     73.299    83.371
64.4196     73.393    82.315
65.3566     73.491    81.247
66.3073     73.583    80.148
67.2717     73.659    79.053
68.2502     73.723    77.997
69.2429     73.773    77.010
70.2501     73.810    76.146
71.2719     73.851    75.420
72.3086     73.896    74.814
73.3603     73.952    74.325
74.4274     74.031    73.918
75.5099     74.130    73.541
76.6083     74.253    73.138
77.7226     74.391    72.658
