Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      5.119    50.261
5.07273      5.134    50.352
5.14651      5.154    50.474
5.22137      5.181    50.644
5.29732      5.212    50.841
5.37437      5.246    51.067
5.45254      5.282    51.301
5.53185      5.318    51.543
5.61231      5.355    51.792
5.69394      5.394    52.046
5.77676      5.433    52.305
5.86079      5.473    52.570
5.94604      5.515    52.839
6.03252      5.557    53.112
6.12027      5.601    53.389
6.20929      5.646    53.670
6.29961      5.692    53.955
6.39124      5.739    54.242
6.48420      5.787    54.533
6.57851      5.837    54.826
6.67420      5.888    55.121
6.77128      5.940    55.419
6.86977      5.994    55.719
6.96969      6.049    56.020
7.07107      6.106    56.323
7.17392      6.164    56.628
7.27827      6.224    56.933
7.38413      6.285    57.239
7.49154      6.348    57.546
7.60050      6.412    57.853
7.71105      6.478    58.161
7.82321      6.546    58.468
7.93701      6.616    58.776
8.05245      6.687    59.083
8.16958      6.761    59.389
8.28841      6.836    59.694
8.40896      6.913    59.999
8.53128      6.993    60.302
8.65537      7.074    60.603
8.78126      7.158    60.903
8.90899      7.243    61.201
9.03857      7.332    61.497
9.17004      7.422    61.790
9.30342      7.515    62.081
9.43874      7.610    62.370
9.57603      7.708    62.655
9.71532      7.808    62.937
9.85663      7.911    63.216
10.0000      8.016    63.491
10.1455      8.125    63.762
10.2930      8.236    64.030
10.4427      8.350    64.293
10.5946      8.467    64.552
10.7487      8.588    64.806
10.9051      8.711    65.055
11.0637      8.838    65.300
11.2246      8.968    65.539
11.3879      9.101    65.773
11.5535      9.238    66.001
11.7216      9.379    66.223
11.8921      9.523    66.440
12.0650      9.671    66.650
12.2405      9.823    66.854
12.4186      9.979    67.052
12.5992     10.139    67.243
12.7825     10.303    67.427
12.9684     10.472    67.604
13.1570     10.645    67.775
13.3484     10.823    67.938
13.5426     11.005    68.093
13.7395     11.192    68.242
13.9394     11.384    68.382
14.1421     11.581    68.516
14.3478     11.784    68.641
14.5565     11.991    68.759
14.7683     12.204    68.868
14.9831     12.423    68.970
15.2010     12.647    69.065
15.4221     12.878    69.151
15.6464     13.114    69.230
15.8740     13.357    69.301
16.1049     13.606    69.364
16.3392     13.861    69.421
16.5768     14.124    69.470
16.8179     14.393    69.512
17.0626     14.669    69.548
17.3107     14.953    69.578
17.5625     15.244    69.603
17.8180     15.543    69.623
18.0771     15.849    69.639
18.3401     16.164    69.652
18.6068     16.487    69.662
18.8775     16.818    69.669
19.1521     17.152    69.679
19.4306     17.492    69.705
19.7133     17.829    69.775
20.0000     18.189    69.913
20.2909     18.587    70.091
20.5860     19.021    70.288
20.8855     19.510    70.471
21.1893     20.043    70.583
21.4975     20.590    70.628
21.8102     21.154    70.641
22.1274     21.733    70.646
22.4492     22.342    70.666
22.7758     22.991    70.705
23.1071     23.704    70.745
23.4432     24.484    70.746
23.7841     25.321    70.692
24.1301     26.212    70.581
24.4811     27.156    70.425
24.8372     28.157    70.242
25.1984     29.246    70.035
25.5649     30.424    69.798
25.9368     31.734    69.517
26.3141     33.192    69.140
26.6968     34.781    68.645
27.0851     36.527    68.023
27.4791     38.434    67.248
27.8788     40.491    66.334
28.2843     42.772    65.270
28.6957     45.288    64.022
29.1131     48.093    62.556
29.5365     51.228    60.797
29.9661     54.666    58.677
30.4020     58.394    56.146
30.8442     62.344    53.154
31.2929     66.407    49.688
31.7480     70.489    45.750
32.2098     74.438    41.355
32.6783     78.122    36.530
33.1536     81.360    31.309
33.6359     83.951    25.753
34.1251     85.733    19.944
34.6215     86.545    13.989
35.1250     86.340     8.016
35.6359     85.126     2.155
36.1543     83.017    -3.470
36.6802     80.193    -8.767
37.2137     76.815   -13.661
37.7550     73.083   -18.089
38.3041     69.212   -22.022
38.8613     65.347   -25.461
39.4265     61.642   -28.430
40.0000     58.174   -30.979
40.5818     55.002   -33.174
41.1721     52.110   -35.079
41.7710     49.488   -36.743
42.3785     47.114   -38.217
42.9949     44.950   -39.535
43.6203     42.986   -40.733
44.2548     41.188   -41.851
44.8985     39.507   -42.901
45.5515     37.935   -43.885
46.2141     36.433   -44.798
46.8863     35.000   -45.617
47.5683     33.645   -46.337
48.2602     32.373   -46.970
48.9621     31.177   -47.527
49.6743     30.055   -48.018
50.3968     28.998   -48.455
51.1299     27.986   -48.834
51.8736     27.024   -49.138
52.6281     26.118   -49.371
53.3936     25.268   -49.547
54.1702     24.464   -49.670
54.9581     23.717   -49.752
55.7575     23.014   -49.812
56.5685     22.347   -49.858
57.3914     21.697   -49.873
58.2261     21.082   -49.848
59.0730     20.493   -49.796
59.9323     19.918   -49.697
60.8040     19.377   -49.547
61.6884     18.865   -49.365
62.5857     18.372   -49.144
63.4960     17.916   -48.895
64.4196     17.476   -48.627
65.3566     17.068   -48.352
66.3073     16.674   -48.088
67.2717     16.281   -47.806
68.2502     15.902   -47.490
69.2429     15.530   -47.135
70.2501     15.168   -46.714
71.2719     14.833   -46.238
72.3086     14.525   -45.742
73.3603     14.235   -45.239
74.4274     13.970   -44.755
75.5099     13.710   -44.301
76.6083     13.453   -43.860
77.7226     13.183   -43.381
78.8531     12.928   -42.832
80.0000     12.693   -42.266
81.1636     12.456   -41.678
82.3442     12.235   -41.040
83.5419     12.034   -40.394
84.7570     11.834   -39.739
85.9899     11.649   -39.061
87.2406     11.472   -38.362
88.5096     11.320   -37.679
89.7970     11.169   -37.045
91.1031     11.009   -36.400
92.4282     10.862   -35.735
93.7726     10.713   -35.060
95.1366     10.569   -34.353
96.5204     10.435   -33.627
97.9243     10.306   -32.883
99.3486     10.187   -32.123
100.794     10.075   -31.351
102.260      9.977   -30.592
103.747      9.882   -29.865
105.256      9.785   -29.140
106.787      9.699   -28.429
108.340      9.598   -27.702
109.916      9.508   -26.917
111.515      9.435   -26.145
113.137      9.358   -25.390
114.783      9.291   -24.633
116.452      9.232   -23.923
118.146      9.154   -23.213
119.865      9.078   -22.427
121.608      9.019   -21.607
123.377      8.967   -20.789
125.171      8.929   -19.992
126.992      8.903   -19.272
128.839      8.864   -18.617
130.713      8.818   -17.958
132.615      8.772   -17.283
134.543      8.722   -16.585
136.500      8.679   -15.867
138.486      8.640   -15.163
140.500      8.593   -14.450
142.544      8.547   -13.696
144.617      8.501   -12.891
146.721      8.464   -12.027
148.855      8.444   -11.150
151.020      8.436   -10.307
153.217      8.434    -9.512
155.445      8.434    -8.761
157.706      8.434    -8.043
160.000      8.434    -7.348
162.327      8.434    -6.669
164.688      8.434    -6.004
167.084      8.434    -5.350
169.514      8.434    -4.705
171.980      8.434    -4.066
174.481      8.434    -3.433
177.019      8.434    -2.803
179.594      8.434    -2.174
182.206      8.434    -1.546
184.856      8.434    -0.916
187.545      8.434    -0.283
190.273      8.434     0.358
193.041      8.434     1.009
195.849      8.434     1.678
198.697      8.434     2.377
201.587      8.439     3.113
204.520      8.453     3.883
207.494      8.485     4.645
210.512      8.531     5.331
213.574      8.577     5.929
216.681      8.623     6.441
219.833      8.656     6.885
223.030      8.669     7.338
226.274      8.675     7.856
229.565      8.680     8.447
232.905      8.694     9.107
236.292      8.726     9.780
239.729      8.772    10.397
243.216      8.818    10.942
246.754      8.864    11.419
250.343      8.897    11.846
253.984      8.910    12.304
257.678      8.922    12.841
261.426      8.935    13.457
265.229      8.968    14.111
269.087      9.014    14.731
273.001      9.060    15.314
276.972      9.112    15.862
281.000      9.157    16.389
285.088      9.203    16.924
289.234      9.254    17.457
293.441      9.306    17.981
297.709      9.365    18.492
302.040      9.430    18.955
306.433      9.489    19.369
310.890      9.541    19.770
315.412      9.590    20.170
320.000      9.631    20.580
324.655      9.666    21.037
329.377      9.710    21.540
334.168      9.762    22.055
339.028      9.821    22.570
343.959      9.894    23.046
348.962      9.964    23.465
354.038     10.026    23.869
359.188     10.088    24.277
364.412     10.153    24.671
369.713     10.212    25.058
375.090     10.270    25.460
380.546     10.329    25.879
386.081     10.394    26.296
391.697     10.458    26.709
397.394     10.522    27.138
403.175     10.598    27.566
409.039     10.680    27.950
414.989     10.753    28.318
421.025     10.837    28.669
427.149     10.917    28.964
433.362     10.980    29.251
439.665     11.039    29.560
446.060     11.088    29.910
452.548     11.140    30.320
459.131     11.202    30.771
465.809     11.275    31.238
472.584     11.362    31.685
479.458     11.448    32.112
486.432     11.544    32.524
493.507     11.644    32.903
500.686     11.743    33.262
507.968     11.854    33.574
515.357     11.949    33.847
522.853     12.042    34.113
530.458     12.130    34.365
538.174     12.200    34.650
546.002     12.280    34.979
553.943     12.363    35.319
562.001     12.445    35.683
570.175     12.542    36.057
578.469     12.642    36.415
586.883     12.747    36.761
595.419     12.853    37.096
604.080     12.964    37.419
612.866     13.076    37.727
621.780     13.189    38.021
630.824     13.302    38.300
640.000     13.408    38.582
649.309     13.514    38.893
658.753     13.635    39.210
668.335     13.755    39.530
678.056     13.906    39.813
687.919     14.050    40.011
697.925     14.179    40.171
708.077     14.302    40.306
718.376     14.397    40.453
728.825     14.483    40.671
739.426     14.580    40.945
750.181     14.681    41.263
761.093     14.813    41.583
772.163     14.944    41.874
783.394     15.085    42.146
794.789     15.231    42.383
806.349     15.366    42.606
818.078     15.509    42.824
829.977     15.649    43.031
842.050     15.792    43.229
854.298     15.936    43.405
866.724     16.072    43.570
879.330     16.205    43.737
892.120     16.333    43.907
905.097     16.452    44.099
918.262     16.575    44.316
931.618     16.697    44.560
945.169     16.828    44.835
958.917     16.975    45.119
972.864     17.138    45.381
987.015     17.299    45.621
1001.37     17.468    45.836
1015.94     17.627    46.035
1030.71     17.780    46.252
1045.71     17.945    46.485
1060.92     18.117    46.716
1076.35     18.298    46.938
1092.00     18.486    47.140
1107.89     18.675    47.321
1124.00     18.867    47.485
1140.35     19.058    47.632
1156.94     19.245    47.771
1173.77     19.432    47.908
1190.84     19.622    48.039
1208.16     19.809    48.164
1225.73     19.997    48.288
1243.56     20.186    48.408
1261.65     20.374    48.526
1280.00     20.563    48.640
1298.62     20.751    48.752
1317.51     20.936    48.867
1336.67     21.125    48.986
1356.11     21.316    49.100
1375.84     21.504    49.212
1395.85     21.692    49.328
1416.15     21.879    49.446
1436.75     22.064    49.571
1457.65     22.253    49.701
1478.85     22.439    49.837
1500.36     22.624    49.985
1522.19     22.811    50.148
1544.33     23.001    50.326
1566.79     23.196    50.522
1589.58     23.401    50.736
1612.70     23.624    50.954
1636.16     23.857    51.164
1659.95     24.098    51.364
1684.10     24.346    51.558
1708.60     24.605    51.747
1733.45     24.878    51.920
1758.66     25.163    52.062
1784.24     25.445    52.172
1810.19     25.722    52.255
1836.52     25.980    52.333
1863.24     26.230    52.432
1890.34     26.486    52.548
1917.83     26.740    52.684
1945.73     27.004    52.846
1974.03     27.296    53.014
2002.74     27.603    53.161
2031.87     27.909    53.301
2061.43     28.234    53.433
2091.41     28.568    53.541
2121.83     28.894    53.637
2152.69     29.227    53.738
2184.01     29.569    53.838
2215.77     29.918    53.940
