Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      3.346     0.630
5.07273      3.346     0.633
5.14651      3.346     0.636
5.22137      3.346     0.641
5.29732      3.347     0.646
5.37437      3.347     0.652
5.45254      3.347     0.658
5.53185      3.347     0.664
5.61231      3.347     0.671
5.69394      3.348     0.677
5.77676      3.348     0.684
5.86079      3.348     0.691
5.94604      3.348     0.698
6.03252      3.348     0.705
6.12027      3.349     0.712
6.20929      3.349     0.719
6.29961      3.349     0.727
6.39124      3.349     0.735
6.48420      3.350     0.742
6.57851      3.350     0.750
6.67420      3.350     0.758
6.77128      3.350     0.766
6.86977      3.351     0.775
6.96969      3.351     0.783
7.07107      3.351     0.792
7.17392      3.352     0.800
7.27827      3.352     0.809
7.38413      3.352     0.818
7.49154      3.353     0.827
7.60050      3.353     0.836
7.71105      3.353     0.845
7.82321      3.354     0.855
7.93701      3.354     0.864
8.05245      3.355     0.874
8.16958      3.355     0.883
8.28841      3.355     0.893
8.40896      3.356     0.903
8.53128      3.356     0.913
8.65537      3.357     0.924
8.78126      3.357     0.934
8.90899      3.358     0.944
9.03857      3.358     0.955
9.17004      3.359     0.965
9.30342      3.359     0.976
9.43874      3.360     0.987
9.57603      3.360     0.997
9.71532      3.361     1.008
9.85663      3.361     1.019
10.0000      3.362     1.031
10.1455      3.363     1.042
10.2930      3.363     1.053
10.4427      3.364     1.064
10.5946      3.365     1.076
10.7487      3.365     1.087
10.9051      3.366     1.098
11.0637      3.367     1.110
11.2246      3.368     1.121
11.3879      3.368     1.133
11.5535      3.369     1.144
11.7216      3.370     1.156
11.8921      3.371     1.168
12.0650      3.372     1.179
12.2405      3.373     1.191
12.4186      3.374     1.202
12.5992      3.375     1.213
12.7825      3.376     1.225
12.9684      3.377     1.236
13.1570      3.378     1.247
13.3484      3.379     1.258
13.5426      3.380     1.269
13.7395      3.381     1.280
13.9394      3.382     1.290
14.1421      3.384     1.301
14.3478      3.385     1.311
14.5565      3.386     1.321
14.7683      3.387     1.330
14.9831      3.389     1.340
15.2010      3.390     1.348
15.4221      3.392     1.357
15.6464      3.393     1.365
15.8740      3.395     1.372
16.1049      3.396     1.379
16.3392      3.398     1.386
16.5768      3.400     1.391
16.8179      3.401     1.396
17.0626      3.403     1.400
17.3107      3.405     1.403
17.5625      3.407     1.405
17.8180      3.409     1.406
18.0771      3.411     1.405
18.3401      3.413     1.402
18.6068      3.415     1.398
18.8775      3.417     1.391
19.1521      3.419     1.381
19.4306      3.422     1.367
19.7133      3.424     1.346
20.0000      3.426     1.318
20.2909      3.428     1.282
20.5860      3.428     1.243
20.8855      3.428     1.212
21.1893      3.427     1.194
21.4975      3.425     1.193
21.8102      3.424     1.214
22.1274      3.424     1.250
22.4492      3.426     1.295
22.7758      3.430     1.334
23.1071      3.435     1.347
23.4432      3.441     1.331
23.7841      3.446     1.288
24.1301      3.449     1.223
24.4811      3.451     1.154
24.8372      3.451     1.095
25.1984      3.451     1.045
25.5649      3.451     1.003
25.9368      3.451     0.966
26.3141      3.451     0.932
26.6968      3.451     0.899
27.0851      3.451     0.867
27.4791      3.451     0.836
27.8788      3.451     0.804
28.2843      3.451     0.770
28.6957      3.451     0.732
29.1131      3.451     0.687
29.5365      3.451     0.634
29.9661      3.449     0.576
30.4020      3.445     0.527
30.8442      3.439     0.505
31.2929      3.434     0.513
31.7480      3.429     0.551
32.2098      3.425     0.611
32.6783      3.424     0.678
33.1536      3.423     0.741
