Freq[Hz]     dBSPL  Phase[Deg]
5.00000     13.452   140.828
5.07273     13.545   140.813
5.14651     13.665   140.796
5.22137     13.826   140.778
5.29732     14.004   140.769
5.37437     14.200   140.761
5.45254     14.396   140.758
5.53185     14.592   140.755
5.61231     14.788   140.753
5.69394     14.985   140.751
5.77676     15.181   140.749
5.86079     15.377   140.747
5.94604     15.573   140.746
6.03252     15.769   140.744
6.12027     15.965   140.743
6.20929     16.161   140.743
6.29961     16.357   140.742
6.39124     16.553   140.741
6.48420     16.749   140.740
6.57851     16.945   140.740
6.67420     17.141   140.740
6.77128     17.337   140.740
6.86977     17.534   140.740
6.96969     17.730   140.740
7.07107     17.926   140.740
7.17392     18.122   140.740
7.27827     18.318   140.740
7.38413     18.514   140.741
7.49154     18.710   140.742
7.60050     18.906   140.743
7.71105     19.102   140.744
7.82321     19.298   140.744
7.93701     19.494   140.745
8.05245     19.690   140.746
8.16958     19.886   140.748
8.28841     20.083   140.749
8.40896     20.279   140.750
8.53128     20.475   140.752
8.65537     20.671   140.753
8.78126     20.867   140.755
8.90899     21.063   140.756
9.03857     21.259   140.758
9.17004     21.455   140.760
9.30342     21.651   140.762
9.43874     21.847   140.764
9.57603     22.043   140.766
9.71532     22.239   140.768
9.85663     22.435   140.770
10.0000     22.632   140.773
10.1455     22.828   140.775
10.2930     23.024   140.778
10.4427     23.220   140.780
10.5946     23.416   140.783
10.7487     23.612   140.786
10.9051     23.808   140.789
11.0637     24.004   140.792
11.2246     24.200   140.795
11.3879     24.396   140.798
11.5535     24.592   140.801
11.7216     24.788   140.805
11.8921     24.985   140.808
12.0650     25.181   140.811
12.2405     25.377   140.815
12.4186     25.573   140.819
12.5992     25.769   140.822
12.7825     25.965   140.826
12.9684     26.161   140.830
13.1570     26.357   140.834
13.3484     26.553   140.838
13.5426     26.749   140.843
13.7395     26.945   140.847
13.9394     27.141   140.852
14.1421     27.337   140.856
14.3478     27.534   140.861
14.5565     27.730   140.866
14.7683     27.926   140.870
14.9831     28.122   140.875
15.2010     28.318   140.880
15.4221     28.514   140.885
15.6464     28.710   140.890
15.8740     28.906   140.896
16.1049     29.102   140.901
16.3392     29.298   140.907
16.5768     29.494   140.912
16.8179     29.690   140.918
17.0626     29.886   140.924
17.3107     30.083   140.930
17.5625     30.279   140.936
17.8180     30.475   140.942
18.0771     30.671   140.949
18.3401     30.867   140.955
18.6068     31.063   140.961
18.8775     31.259   140.968
19.1521     31.455   140.975
19.4306     31.651   140.982
19.7133     31.847   140.989
20.0000     32.043   140.996
20.2909     32.239   141.003
20.5860     32.435   141.011
20.8855     32.632   141.018
21.1893     32.828   141.026
21.4975     33.024   141.034
21.8102     33.220   141.042
22.1274     33.416   141.050
22.4492     33.612   141.058
22.7758     33.808   141.066
23.1071     34.004   141.075
23.4432     34.200   141.083
23.7841     34.396   141.092
24.1301     34.592   141.101
24.4811     34.788   141.110
24.8372     34.984   141.120
25.1984     35.181   141.129
25.5649     35.377   141.139
25.9368     35.573   141.148
26.3141     35.769   141.158
26.6968     35.965   141.168
27.0851     36.161   141.179
27.4791     36.357   141.189
27.8788     36.553   141.200
28.2843     36.749   141.210
28.6957     36.945   141.221
29.1131     37.141   141.232
29.5365     37.337   141.244
29.9661     37.533   141.255
30.4020     37.730   141.267
30.8442     37.926   141.278
31.2929     38.122   141.290
31.7480     38.318   141.303
32.2098     38.514   141.315
32.6783     38.710   141.328
33.1536     38.906   141.340
33.6359     39.102   141.353
34.1251     39.298   141.367
34.6215     39.494   141.380
35.1250     39.690   141.394
35.6359     39.886   141.408
36.1543     40.082   141.422
36.6802     40.279   141.436
37.2137     40.475   141.451
37.7550     40.671   141.465
38.3041     40.867   141.481
38.8613     41.063   141.496
39.4265     41.259   141.511
40.0000     41.455   141.527
40.5818     41.651   141.543
41.1721     41.847   141.559
41.7710     42.043   141.576
42.3785     42.239   141.593
42.9949     42.435   141.610
43.6203     42.631   141.627
44.2548     42.828   141.645
44.8985     43.024   141.662
45.5515     43.220   141.681
46.2141     43.416   141.699
46.8863     43.612   141.718
47.5683     43.808   141.737
48.2602     44.004   141.756
48.9621     44.200   141.776
49.6743     44.396   141.796
50.3968     44.592   141.816
51.1299     44.788   141.837
51.8736     44.984   141.858
52.6281     45.180   141.879
53.3936     45.377   141.901
54.1702     45.573   141.923
54.9581     45.769   141.945
55.7575     45.965   141.968
56.5685     46.161   141.991
57.3914     46.357   142.014
58.2261     46.553   142.038
59.0730     46.749   142.062
59.9323     46.945   142.087
60.8040     47.141   142.112
61.6884     47.337   142.137
62.5857     47.533   142.163
63.4960     47.729   142.189
64.4196     47.926   142.215
65.3566     48.122   142.243
66.3073     48.318   142.270
67.2717     48.514   142.298
68.2502     48.710   142.326
69.2429     48.906   142.355
70.2501     49.102   142.384
71.2719     49.298   142.414
72.3086     49.494   142.444
73.3603     49.690   142.475
74.4274     49.886   142.506
75.5099     50.082   142.538
76.6083     50.278   142.570
77.7226     50.475   142.603
78.8531     50.671   142.636
80.0000     50.867   142.670
81.1636     51.063   142.704
82.3442     51.259   142.739
83.5419     51.455   142.775
84.7570     51.651   142.811
85.9899     51.847   142.847
87.2406     52.043   142.884
88.5096     52.239   142.922
89.7970     52.435   142.960
91.1031     52.631   142.999
92.4282     52.827   143.038
93.7726     53.024   143.078
95.1366     53.220   143.119
96.5204     53.416   143.160
97.9243     53.612   143.202
99.3486     53.808   143.244
100.794     54.004   143.287
102.260     54.200   143.330
103.747     54.396   143.374
105.256     54.592   143.419
106.787     54.788   143.464
108.340     54.984   143.509
109.916     55.180   143.555
111.515     55.376   143.602
113.137     55.573   143.648
114.783     55.769   143.696
116.452     55.965   143.743
118.146     56.161   143.791
119.865     56.357   143.839
121.608     56.553   143.887
123.377     56.749   143.934
125.171     56.945   143.982
126.992     57.141   144.030
128.839     57.337   144.077
130.713     57.533   144.124
132.615     57.729   144.169
134.543     57.925   144.214
136.500     58.122   144.258
138.486     58.318   144.299
140.500     58.514   144.339
142.544     58.710   144.376
144.617     58.906   144.410
146.721     59.102   144.440
148.855     59.298   144.466
151.020     59.494   144.486
153.217     59.690   144.499
155.445     59.886   144.505
157.706     60.082   144.501
160.000     60.278   144.485
162.327     60.474   144.455
164.688     60.671   144.407
167.084     60.867   144.338
169.514     61.063   144.243
171.980     61.259   144.114
174.481     61.455   143.944
177.019     61.651   143.721
179.594     61.847   143.428
182.206     62.043   143.043
184.856     62.239   142.530
187.545     62.435   141.829
190.273     62.631   140.819
193.041     62.796   139.371
195.849     62.896   137.389
198.697     62.839   135.010
201.587     62.570   132.747
204.520     62.095   131.187
207.494     61.406   130.950
210.512     60.582   132.590
213.574     59.795   136.109
216.681     59.112   141.154
219.833     58.587   147.470
223.030     58.240   154.919
226.274     58.093   163.488
229.565     58.239   173.224
232.905     58.887  -176.138
236.292     60.239  -165.586
239.729     62.148  -156.560
243.216     64.352  -150.467
246.754     66.437  -148.100
250.343     68.230  -149.234
253.984     69.694  -153.024
257.678     70.785  -158.202
261.426     71.594  -163.504
265.229     72.246  -168.377
269.087     72.788  -172.701
273.001     73.288  -176.548
276.972     73.768   179.818
281.000     74.219   176.197
285.088     74.627   172.467
289.234     74.969   168.618
293.441     75.236   164.700
297.709     75.424   160.759
302.040     75.522   156.842
306.433     75.513   153.045
310.890     75.382   149.537
315.412     75.120   146.556
320.000     74.715   144.469
324.655     74.193   143.743
329.377     73.644   144.676
334.168     73.173   147.293
339.028     72.931   151.279
343.959     73.028   155.930
348.962     73.466   160.408
354.038     74.151   164.034
359.188     74.968   166.404
364.412     75.804   167.414
369.713     76.574   167.241
375.090     77.230   166.253
380.546     77.771   164.838
386.081     78.206   163.324
391.697     78.560   161.985
397.394     78.862   161.014
403.175     79.155   160.508
409.039     79.493   160.427
414.989     79.911   160.617
421.025     80.439   160.829
427.149     81.071   160.741
433.362     81.771   160.061
439.665     82.495   158.579
446.060     83.177   156.232
452.548     83.759   153.181
459.131     84.228   149.654
465.809     84.560   145.904
472.584     84.752   142.270
479.458     84.827   139.058
486.432     84.811   136.519
