Freq[Hz]     dBSPL  Phase[Deg]
5.00000     88.435  -110.384
5.07273     88.320  -110.734
5.14651     88.170  -111.164
5.22137     87.967  -111.706
5.29732     87.741  -112.237
5.37437     87.490  -112.767
5.45254     87.239  -113.227
5.53185     86.988  -113.633
5.61231     86.737  -113.992
5.69394     86.486  -114.309
5.77676     86.235  -114.590
5.86079     85.984  -114.836
5.94604     85.733  -115.052
6.03252     85.482  -115.238
6.12027     85.231  -115.397
6.20929     84.980  -115.530
6.29961     84.729  -115.638
6.39124     84.478  -115.722
6.48420     84.227  -115.783
6.57851     83.976  -115.822
6.67420     83.725  -115.840
6.77128     83.474  -115.837
6.86977     83.223  -115.813
6.96969     82.972  -115.770
7.07107     82.721  -115.707
7.17392     82.470  -115.624
7.27827     82.219  -115.523
7.38413     81.968  -115.403
7.49154     81.717  -115.265
7.60050     81.466  -115.109
7.71105     81.215  -114.935
7.82321     80.964  -114.743
7.93701     80.713  -114.533
8.05245     80.461  -114.306
8.16958     80.210  -114.061
8.28841     79.959  -113.799
8.40896     79.708  -113.519
8.53128     79.457  -113.222
8.65537     79.206  -112.907
8.78126     78.955  -112.575
8.90899     78.704  -112.226
9.03857     78.453  -111.859
9.17004     78.202  -111.474
9.30342     77.951  -111.072
9.43874     77.700  -110.653
9.57603     77.449  -110.215
9.71532     77.198  -109.760
9.85663     76.947  -109.286
10.0000     76.696  -108.795
10.1455     76.445  -108.285
10.2930     76.194  -107.756
10.4427     75.943  -107.209
10.5946     75.692  -106.643
10.7487     75.441  -106.058
10.9051     75.190  -105.454
11.0637     74.939  -104.830
11.2246     74.688  -104.186
11.3879     74.437  -103.523
11.5535     74.186  -102.839
11.7216     73.935  -102.134
11.8921     73.684  -101.408
12.0650     73.433  -100.661
12.2405     73.181   -99.892
12.4186     72.930   -99.101
12.5992     72.679   -98.287
12.7825     72.428   -97.450
12.9684     72.177   -96.590
13.1570     71.926   -95.706
13.3484     71.675   -94.797
13.5426     71.424   -93.863
13.7395     71.173   -92.904
13.9394     70.922   -91.918
14.1421     70.671   -90.905
14.3478     70.420   -89.864
14.5565     70.169   -88.795
14.7683     69.918   -87.697
14.9831     69.667   -86.568
15.2010     69.416   -85.408
15.4221     69.165   -84.216
15.6464     68.914   -82.991
15.8740     68.663   -81.731
16.1049     68.412   -80.435
16.3392     68.161   -79.101
16.5768     67.910   -77.729
16.8179     67.659   -76.315
17.0626     67.408   -74.858
17.3107     67.157   -73.356
17.5625     66.906   -71.805
17.8180     66.655   -70.204
18.0771     66.404   -68.546
18.3401     66.153   -66.829
18.6068     65.902   -65.045
18.8775     65.650   -63.186
19.1521     65.399   -61.236
19.4306     65.148   -59.165
19.7133     64.907   -56.947
20.0000     64.686   -54.591
20.2909     64.511   -52.205
20.5860     64.378   -49.984
20.8855     64.248   -48.035
21.1893     64.073   -46.245
21.4975     63.839   -44.364
21.8102     63.555   -42.156
22.1274     63.263   -39.494
22.4492     63.031   -36.503
22.7758     62.885   -33.537
23.1071     62.776   -30.889
23.4432     62.616   -28.495
23.7841     62.358   -25.962
24.1301     62.009   -22.814
24.4811     61.621   -18.669
24.8372     61.314   -13.454
25.1984     61.203    -7.517
25.5649     61.336    -1.427
25.9368     61.697     4.215
26.3141     62.199     8.983
26.6968     62.761    12.707
27.0851     63.312    15.402
27.4791     63.797    17.262
27.8788     64.196    18.558
28.2843     64.503    19.554
28.6957     64.720    20.505
29.1131     64.871    21.620
29.5365     64.984    23.009
29.9661     65.086    24.716
30.4020     65.204    26.712
30.8442     65.357    28.914
31.2929     65.557    31.217
31.7480     65.806    33.507
32.2098     66.099    35.684
32.6783     66.429    37.668
33.1536     66.784    39.394
33.6359     67.148    40.842
34.1251     67.515    42.007
34.6215     67.870    42.885
35.1250     68.199    43.523
35.6359     68.498    43.982
36.1543     68.758    44.331
36.6802     68.983    44.666
37.2137     69.183    45.047
37.7550     69.363    45.508
38.3041     69.532    46.067
38.8613     69.697    46.728
39.4265     69.864    47.491
40.0000     70.044    48.330
40.5818     70.239    49.201
41.1721     70.449    50.071
41.7710     70.676    50.898
42.3785     70.916    51.637
42.9949     71.160    52.267
43.6203     71.405    52.780
44.2548     71.638    53.183
44.8985     71.850    53.529
45.5515     72.038    53.915
46.2141     72.218    54.422
46.8863     72.407    55.084
47.5683     72.630    55.865
48.2602     72.906    56.623
48.9621     73.225    57.192
49.6743     73.565    57.461
50.3968     73.905    57.380
51.1299     74.214    56.993
51.8736     74.483    56.416
