Freq[Hz]  Imp[Ohm]  Phase[Deg]
5.00000      3.929    13.542
5.07273      3.931    13.602
5.14651      3.933    13.681
5.22137      3.936    13.790
5.29732      3.939    13.912
5.37437      3.943    14.050
5.45254      3.947    14.191
5.53185      3.951    14.336
5.61231      3.955    14.483
5.69394      3.959    14.634
5.77676      3.963    14.787
5.86079      3.967    14.943
5.94604      3.972    15.101
6.03252      3.976    15.263
6.12027      3.981    15.427
6.20929      3.985    15.594
6.29961      3.990    15.764
6.39124      3.995    15.936
6.48420      4.000    16.112
6.57851      4.006    16.290
6.67420      4.011    16.470
6.77128      4.017    16.654
6.86977      4.022    16.840
6.96969      4.028    17.029
7.07107      4.034    17.220
7.17392      4.040    17.415
7.27827      4.047    17.612
7.38413      4.053    17.812
7.49154      4.060    18.015
7.60050      4.067    18.220
7.71105      4.074    18.428
7.82321      4.081    18.639
7.93701      4.088    18.853
8.05245      4.096    19.070
8.16958      4.104    19.289
8.28841      4.112    19.511
8.40896      4.120    19.736
8.53128      4.128    19.964
8.65537      4.137    20.195
8.78126      4.146    20.428
8.90899      4.155    20.664
9.03857      4.164    20.903
9.17004      4.174    21.145
9.30342      4.184    21.390
9.43874      4.194    21.637
9.57603      4.204    21.888
9.71532      4.215    22.141
9.85663      4.226    22.397
10.0000      4.237    22.655
10.1455      4.249    22.917
10.2930      4.261    23.181
10.4427      4.273    23.448
10.5946      4.285    23.718
10.7487      4.298    23.991
10.9051      4.311    24.266
11.0637      4.324    24.545
11.2246      4.338    24.826
11.3879      4.352    25.110
11.5535      4.367    25.396
11.7216      4.382    25.686
11.8921      4.397    25.978
12.0650      4.413    26.272
12.2405      4.429    26.570
12.4186      4.446    26.870
12.5992      4.463    27.173
12.7825      4.480    27.479
12.9684      4.498    27.787
13.1570      4.516    28.098
13.3484      4.535    28.411
13.5426      4.555    28.727
13.7395      4.575    29.046
13.9394      4.595    29.367
14.1421      4.616    29.691
14.3478      4.637    30.018
14.5565      4.659    30.347
14.7683      4.682    30.678
14.9831      4.705    31.013
15.2010      4.729    31.349
15.4221      4.754    31.688
15.6464      4.779    32.030
15.8740      4.804    32.374
16.1049      4.831    32.721
16.3392      4.858    33.070
16.5768      4.886    33.421
16.8179      4.915    33.775
17.0626      4.944    34.131
17.3107      4.974    34.489
17.5625      5.005    34.850
17.8180      5.037    35.213
18.0771      5.069    35.577
18.3401      5.103    35.942
18.6068      5.137    36.308
18.8775      5.172    36.670
19.1521      5.208    37.027
19.4306      5.242    37.377
19.7133      5.273    37.741
20.0000      5.302    38.145
20.2909      5.329    38.628
20.5860      5.366    39.177
20.8855      5.411    39.743
21.1893      5.466    40.287
21.4975      5.529    40.755
21.8102      5.588    41.149
22.1274      5.638    41.551
22.4492      5.692    41.987
22.7758      5.742    42.469
23.1071      5.805    42.993
23.4432      5.878    43.491
23.7841      5.957    43.926
24.1301      6.036    44.293
24.4811      6.110    44.629
24.8372      6.182    44.964
25.1984      6.249    45.323
25.5649      6.317    45.738
25.9368      6.395    46.187
26.3141      6.475    46.657
26.6968      6.572    47.110
27.0851      6.670    47.507
27.4791      6.768    47.882
27.8788      6.870    48.232
28.2843      6.966    48.589
28.6957      7.070    48.971
29.1131      7.178    49.355
29.5365      7.289    49.760
29.9661      7.415    50.160
30.4020      7.546    50.528
30.8442      7.683    50.875
31.2929      7.829    51.176
31.7480      7.973    51.438
32.2098      8.118    51.696
32.6783      8.264    51.971
33.1536      8.418    52.276
33.6359      8.587    52.582
34.1251      8.768    52.850
34.6215      8.956    53.072
35.1250      9.147    53.252
35.6359      9.334    53.432
36.1543      9.529    53.646
36.6802      9.735    53.886
37.2137      9.961    54.136
37.7550     10.205    54.363
38.3041     10.465    54.554
38.8613     10.741    54.704
39.4265     11.028    54.814
40.0000     11.328    54.909
40.5818     11.651    54.978
41.1721     11.990    55.013
41.7710     12.353    55.014
42.3785     12.740    54.960
42.9949     13.142    54.861
43.6203     13.569    54.732
44.2548     14.023    54.563
44.8985     14.503    54.365
45.5515     15.028    54.131
46.2141     15.596    53.827
46.8863     16.206    53.449
47.5683     16.869    52.981
48.2602     17.580    52.408
48.9621     18.343    51.728
49.6743     19.165    50.928
50.3968     20.043    50.000
51.1299     20.983    48.940
51.8736     21.984    47.752
52.6281     23.068    46.434
53.3936     24.250    44.958
