* Measurement data measured by REW V5.31.3
* Source: Microphone (Conexant ISST Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Aug 8, 2025 4:37:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Woofer + Tweeter 2 Aug 8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 500.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
500.603027 75.986 -154.1918
504.230603 75.980 -154.3398
507.884466 75.978 -154.4763
511.564806 75.977 -154.6008
515.271816 75.973 -154.7156
519.005688 75.961 -154.8253
522.766617 75.938 -154.9361
526.554799 75.905 -155.0564
530.370432 75.860 -155.1935
534.213715 75.808 -155.3507
538.084848 75.753 -155.5231
541.984033 75.699 -155.6907
545.911472 75.648 -155.8114
549.867372 75.598 -155.8341
553.851938 75.541 -155.7408
557.865377 75.471 -155.5709
561.907899 75.390 -155.3792
565.979716 75.301 -155.1993
570.081038 75.210 -155.0408
574.212080 75.122 -154.8986
578.373058 75.038 -154.7610
582.564187 74.960 -154.6166
586.785688 74.887 -154.4553
591.037779 74.819 -154.2694
595.320682 74.754 -154.0539
599.634621 74.690 -153.8045
603.979821 74.628 -153.5178
608.356507 74.565 -153.1927
612.764909 74.504 -152.8289
617.205257 74.444 -152.4237
621.677780 74.387 -151.9720
626.182714 74.333 -151.4707
630.720292 74.282 -150.9223
635.290751 74.232 -150.3391
639.894330 74.182 -149.7428
644.531268 74.136 -149.1552
649.201807 74.095 -148.5829
653.906191 74.064 -148.0029
658.644665 74.042 -147.3771
663.417476 74.029 -146.6861
668.224872 74.021 -145.9309
673.067105 74.019 -145.1209
677.944427 74.023 -144.2660
682.857091 74.032 -143.3766
687.805355 74.048 -142.4647
692.789476 74.068 -141.5434
697.809715 74.095 -140.6238
702.866331 74.127 -139.7156
707.959591 74.165 -138.8275
713.089758 74.211 -137.9662
718.257100 74.266 -137.1329
723.461887 74.328 -136.3245
728.704390 74.398 -135.5429
733.984882 74.474 -134.8019
739.303640 74.558 -134.1206
744.660938 74.652 -133.5112
750.057059 74.761 -132.9657
755.492281 74.885 -132.4544
760.966890 75.023 -131.9526
766.481169 75.171 -131.4555
772.035408 75.329 -130.9686
777.629895 75.493 -130.4982
783.264922 75.662 -130.0496
788.940782 75.835 -129.6268
794.657772 76.008 -129.2337
800.416190 76.181 -128.8747
806.216336 76.352 -128.5520
812.058512 76.523 -128.2642
817.943022 76.692 -128.0091
823.870175 76.860 -127.7886
829.840278 77.025 -127.6108
835.853642 77.189 -127.4890
841.910582 77.353 -127.4360
848.011413 77.518 -127.4558
854.156454 77.684 -127.5355
860.346023 77.851 -127.6549
866.580445 78.015 -127.8051
872.860045 78.174 -127.9894
879.185148 78.329 -128.2143
885.556086 78.479 -128.4843
891.973191 78.626 -128.8002
898.436796 78.770 -129.1601
904.947240 78.912 -129.5613
911.504860 79.053 -130.0021
918.110000 79.192 -130.4809
924.763004 79.329 -130.9960
931.464218 79.466 -131.5451
938.213991 79.602 -132.1246
945.012677 79.739 -132.7268
951.860628 79.875 -133.3378
958.758203 80.010 -133.9432
965.705760 80.141 -134.5380
972.703662 80.267 -135.1267
979.752274 80.387 -135.7183
986.851962 80.501 -136.3219
994.003098 80.610 -136.9444
1001.206055 80.715 -137.5903
1008.461206 80.817 -138.2624
1015.768932 80.917 -138.9616
1023.129613 81.016 -139.6871
1030.543631 81.115 -140.4357
1038.011375 81.213 -141.2034
1045.533234 81.309 -141.9870
1053.109599 81.402 -142.7883
1060.740865 81.492 -143.6118
1068.427430 81.580 -144.4568
1076.169696 81.667 -145.3161
1083.968065 81.753 -146.1787
1091.822945 81.837 -147.0342
1099.734744 81.918 -147.8743
1107.703875 81.994 -148.6940
1115.730754 82.064 -149.4921
1123.815799 82.127 -150.2691
1131.959431 82.180 -151.0277
1140.162076 82.224 -151.7754
1148.424161 82.259 -152.5251
1156.746115 82.287 -153.2894
1165.128375 82.311 -154.0732
1173.571375 82.333 -154.8735
1182.075557 82.355 -155.6860
1190.641364 82.377 -156.5075
1199.269242 82.399 -157.3345
1207.959641 82.422 -158.1622
1216.713015 82.444 -158.9852
1225.529819 82.468 -159.7983
1234.410513 82.492 -160.5959
1243.355561 82.516 -161.3714
1252.365427 82.541 -162.1152
1261.440584 82.565 -162.8172
1270.581502 82.587 -163.4742
1279.788659 82.605 -164.0920
1289.062536 82.617 -164.6822
1298.403614 82.625 -165.2585
1307.812382 82.629 -165.8319
1317.289330 82.630 -166.4101
1326.834951 82.630 -166.9977
1336.449744 82.630 -167.5965
1346.134210 82.632 -168.2041
1355.888853 82.637 -168.8158
1365.714183 82.645 -169.4263
1375.610711 82.657 -170.0303
1385.578953 82.674 -170.6210
1395.619429 82.694 -171.1910
1405.732663 82.716 -171.7355
1415.919181 82.738 -172.2551
1426.179515 82.760 -172.7564
1436.514200 82.778 -173.2512
1446.923774 82.793 -173.7549
1457.408780 82.803 -174.2823
1467.969765 82.808 -174.8439
1478.607279 82.810 -175.4477
1489.321877 82.807 -176.0993
1500.114117 82.801 -176.7997
1510.984562 82.792 -177.5433
1521.933779 82.780 -178.3194
1532.962339 82.765 -179.1161
1544.070816 82.745 -179.9249
1555.259790 82.719 179.2581
1566.529843 82.686 178.4333
1577.881564 82.644 177.5996
1589.315544 82.594 176.7518
1600.832380 82.534 175.8788
1612.432671 82.465 174.9652
1624.117023 82.388 173.9956
1635.886045 82.304 172.9602
1647.740349 82.213 171.8595
1659.680555 82.115 170.7031
1671.707285 82.012 169.5057
1683.821165 81.903 168.2861
1696.022827 81.788 167.0650
1708.312907 81.664 165.8605
1720.692047 81.528 164.6821
1733.160891 81.378 163.5283
1745.720089 81.210 162.3860
1758.370297 81.023 161.2337
1771.112173 80.817 160.0504
1783.946381 80.595 158.8254
1796.873592 80.359 157.5615
1809.894479 80.112 156.2747
1823.009721 79.858 154.9925
1836.220000 79.598 153.7511
1849.526008 79.331 152.5906
1862.928435 79.054 151.5436
1876.427983 78.763 150.6249
1890.025353 78.452 149.8309
1903.721256 78.118 149.1469
1917.516405 77.760 148.5540
1931.411520 77.382 148.0402
1945.407324 76.988 147.6115
1959.504547 76.585 147.2980
1973.703925 76.181 147.1498
1988.006197 75.780 147.2292
2002.412109 75.387 147.5999
2016.922413 75.002 148.3147
2031.537864 74.626 149.4036
2046.259225 74.261 150.8666
2061.087263 73.910 152.6704
2076.022751 73.577 154.7505
2091.066467 73.275 157.0212
2106.219197 73.019 159.3939
2121.481730 72.827 161.7927
2136.854861 72.713 164.1658
2152.339392 72.681 166.4857
2167.936130 72.724 168.7353
2183.645889 72.826 170.8846
2199.469488 72.962 172.8796
2215.407750 73.113 174.6481
2231.461508 73.261 176.1106
2247.631598 73.400 177.1979
2263.918863 73.527 177.8727
2280.324152 73.644 178.1510
2296.848321 73.752 178.1017
2313.492231 73.847 177.8268
2330.256749 73.922 177.4302
2347.142750 73.964 176.9868
2364.151114 73.961 176.5241
2381.282728 73.903 176.0217
2398.538484 73.787 175.4334
2415.919282 73.616 174.7234
2433.426030 73.401 173.9027
2451.059638 73.150 173.0460
2468.821026 72.871 172.2769
2486.711121 72.563 171.7283
2504.730855 72.218 171.5028
2522.881167 71.827 171.6530
2541.163004 71.382 172.1857
2559.577319 70.883 173.0911
2578.125071 70.345 174.3877
2596.807228 69.792 176.1666
2615.624764 69.259 178.5977
2634.578659 68.782 -178.1139
2653.669902 68.391 -173.8115
2672.899488 68.109 -168.4907
2692.268420 67.948 -162.3698
2711.777706 67.919 -155.8781
2731.428365 68.030 -149.5423
2751.221421 68.286 -143.8202
2771.157906 68.674 -138.9665
2791.238858 69.167 -135.0145
2811.465326 69.721 -131.8498
2831.838363 70.293 -129.3198
2852.359031 70.848 -127.3138
2873.028400 71.368 -125.7851
2893.847548 71.850 -124.7227
2914.817560 72.305 -124.0990
2935.939530 72.743 -123.8344
2957.214558 73.171 -123.8024
2978.643754 73.586 -123.8751
3000.228234 73.978 -123.9754
3021.969125 74.344 -124.0997
3043.867559 74.684 -124.2979
3065.924678 75.009 -124.6208
3088.141632 75.331 -125.0741
3110.519579 75.658 -125.6092
3133.059686 75.988 -126.1580
3155.763128 76.313 -126.6829
3178.631089 76.622 -127.2045
3201.664760 76.914 -127.7857
3224.865343 77.190 -128.4860
3248.234046 77.457 -129.3209
3271.772089 77.715 -130.2587
3295.480699 77.959 -131.2549
3319.361110 78.180 -132.2955
3343.414569 78.372 -133.4090
3367.642329 78.532 -134.6406
3392.045654 78.664 -136.0109
3416.625815 78.771 -137.4928
3441.384094 78.852 -139.0302
3466.321782 78.901 -140.5797
3491.440178 78.912 -142.1387
3516.740593 78.882 -143.7318
3542.224345 78.814 -145.3681
3567.892763 78.715 -147.0128
3593.747185 78.588 -148.5977
3619.788958 78.433 -150.0644
3646.019441 78.249 -151.3940
3672.440001 78.037 -152.5938
3699.052015 77.805 -153.6556
3725.856871 77.562 -154.5295
3752.855966 77.315 -155.1400
3780.050707 77.067 -155.4331
3807.442513 76.821 -155.4049
3835.032810 76.589 -155.0858
3862.823039 76.386 -154.5010
3890.814647 76.231 -153.6570
3919.009094 76.132 -152.5743
3947.407849 76.095 -151.3318
3976.012394 76.120 -150.0676
4004.824219 76.211 -148.9271
4033.844826 76.370 -148.0054
4063.075728 76.589 -147.3415
4092.518450 76.850 -146.9605
4122.174526 77.134 -146.9059
4152.045502 77.427 -147.2183
4182.132935 77.721 -147.8897
4212.438394 78.005 -148.8575
4242.963459 78.266 -150.0515
4273.709721 78.493 -151.4373
4304.678784 78.677 -153.0035
4335.872261 78.818 -154.7117
4367.291779 78.911 -156.4786
4398.938975 78.949 -158.2155
4430.815500 78.925 -159.8698
4462.923016 78.835 -161.4075
4495.263196 78.683 -162.7593
4527.837726 78.470 -163.8064
4560.648305 78.193 -164.4302
4593.696642 77.851 -164.5561
4626.984462 77.453 -164.1301
4660.513498 77.017 -163.0772
4694.285500 76.563 -161.3274
4728.302228 76.106 -158.9052
4762.565455 75.667 -155.9769
4797.076968 75.268 -152.7960
4831.838565 74.927 -149.6106
4866.852059 74.646 -146.6281
4902.119275 74.405 -144.0224
4937.642052 74.180 -141.8978
4973.422242 73.951 -140.2213
5009.461710 73.697 -138.8181
5045.762334 73.396 -137.4510
5082.326008 73.036 -135.8652
5119.154637 72.626 -133.7248
5156.250142 72.204 -130.5415
5193.614456 71.839 -125.7335
5231.249528 71.633 -118.8442
5269.157318 71.717 -109.9175
5307.339804 72.186 -99.9078
5345.798976 73.024 -90.5102
5384.536839 74.118 -83.1672
5423.555413 75.335 -78.3801
5462.856731 76.575 -75.9076
5502.442843 77.774 -75.2380
5542.315812 78.894 -75.8991
5582.477717 79.920 -77.5489
5622.930652 80.845 -79.9320
5663.676725 81.669 -82.8409
5704.718061 82.391 -86.1272
5746.056800 83.012 -89.6939
5787.695096 83.535 -93.4568
5829.635121 83.963 -97.3357
5871.879060 84.298 -101.2725
5914.429116 84.542 -105.2223
5957.287508 84.701 -109.1280
6000.456469 84.776 -112.9305
6043.938250 84.772 -116.5812
6087.735118 84.694 -120.0255
6131.849356 84.550 -123.1988
6176.283264 84.347 -126.0446
6221.039159 84.097 -128.5155
6266.119373 83.815 -130.5634
6311.526257 83.518 -132.1577
6357.262178 83.223 -133.3058
6403.329520 82.949 -134.0482
6449.730685 82.714 -134.4605
6496.468093 82.527 -134.6632
6543.544179 82.394 -134.7945
6590.961397 82.309 -134.9743
6638.722220 82.261 -135.2960
6686.829138 82.235 -135.8136
6735.284659 82.215 -136.5250
6784.091308 82.187 -137.3901
6833.251630 82.142 -138.3523
6882.768188 82.076 -139.3403
6932.643563 81.989 -140.2857
6982.880357 81.886 -141.1454
7033.481186 81.774 -141.8960
7084.448690 81.663 -142.5359
7135.785526 81.560 -143.0918
7187.494369 81.470 -143.5956
7239.577916 81.394 -144.0705
7292.038882 81.327 -144.5313
7344.880002 81.267 -144.9682
7398.104030 81.212 -145.3491
7451.713742 81.164 -145.6416
7505.711931 81.131 -145.8193
