* Measurement data measured by REW V5.31.3
* Source: Microphone (Conexant ISST Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Aug 8, 2025 2:13:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Woofer + Tweeter 2 Aug 8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 69.582 -40.7357
20.287556 69.574 -40.9178
20.434568 69.562 -41.1824
20.582645 69.549 -41.4983
20.731796 69.537 -41.8377
20.882027 69.526 -42.1788
21.033346 69.516 -42.5061
21.185763 69.508 -42.8091
21.339284 69.501 -43.0813
21.493917 69.494 -43.3198
21.649671 69.486 -43.5240
21.806553 69.477 -43.6955
21.964572 69.464 -43.8379
22.123737 69.448 -43.9566
22.284054 69.428 -44.0582
22.445534 69.403 -44.1505
22.608183 69.375 -44.2422
22.772012 69.342 -44.3425
22.937027 69.307 -44.4606
23.103238 69.269 -44.6052
23.270654 69.228 -44.7843
23.439282 69.185 -45.0044
23.609133 69.141 -45.2700
23.780215 69.096 -45.5833
23.952536 69.056 -45.9436
24.126106 69.021 -46.3470
24.300934 68.996 -46.7867
24.477028 68.982 -47.2532
24.654399 68.981 -47.7341
24.833055 68.992 -48.2161
25.013005 69.017 -48.6846
25.194260 69.051 -49.1258
25.376828 69.094 -49.5274
25.560719 69.142 -49.8791
25.745942 69.192 -50.1741
25.932508 69.244 -50.4090
26.120426 69.295 -50.5840
26.309705 69.345 -50.7031
26.500356 69.391 -50.7733
26.692388 69.433 -50.8044
26.885812 69.469 -50.8085
27.080638 69.497 -50.7987
27.276876 69.517 -50.7889
27.474535 69.529 -50.7929
27.673627 69.534 -50.8236
27.874161 69.531 -50.8922
28.076149 69.524 -51.0080
28.279600 69.513 -51.1774
28.484526 69.500 -51.4039
28.690937 69.488 -51.6878
28.898843 69.478 -52.0261
29.108256 69.472 -52.4131
29.319186 69.472 -52.8406
29.531645 69.478 -53.2985
29.745644 69.491 -53.7760
29.961193 69.510 -54.2620
30.178304 69.537 -54.7461
30.396989 69.569 -55.2192
30.617258 69.607 -55.6744
30.839123 69.649 -56.1064
31.062596 69.693 -56.5126
31.287688 69.740 -56.8923
31.514412 69.787 -57.2466
31.742778 69.835 -57.5781
31.972800 69.882 -57.8898
32.204488 69.929 -58.1852
32.437855 69.976 -58.4673
32.672913 70.022 -58.7383
32.909674 70.070 -58.9993
33.148151 70.118 -59.2504
33.388356 70.168 -59.4912
33.630302 70.218 -59.7209
33.874001 70.267 -59.9398
34.119466 70.313 -60.1498
34.366710 70.355 -60.3558
34.615745 70.390 -60.5653
34.866585 70.418 -60.7893
35.119243 70.439 -61.0408
35.373731 70.455 -61.3332
35.630064 70.469 -61.6783
35.888254 70.485 -62.0824
36.148315 70.506 -62.5443
36.410261 70.537 -63.0526
36.674104 70.581 -63.5852
36.939860 70.639 -64.1115
37.207542 70.713 -64.5964
37.477163 70.798 -65.0070
37.748738 70.888 -65.3193
38.022281 70.978 -65.5239
38.297806 71.057 -65.6290
38.575327 71.121 -65.6609
38.854860 71.165 -65.6606
39.136419 71.188 -65.6776
39.420017 71.194 -65.7620
39.705671 71.188 -65.9536
39.993395 71.179 -66.2730
40.283203 71.176 -66.7137
40.575112 71.186 -67.2407
40.869136 71.213 -67.7971
41.165290 71.256 -68.3190
41.463591 71.309 -68.7549
41.764053 71.362 -69.0822
42.066693 71.404 -69.3171
42.371525 71.429 -69.5143
42.678567 71.432 -69.7553
42.987834 71.419 -70.1280
43.299341 71.402 -70.6999
43.613106 71.397 -71.4888
43.929145 71.423 -72.4407
44.247473 71.490 -73.4294
44.568109 71.598 -74.2877
44.891068 71.732 -74.8629
45.216367 71.864 -75.0741
45.544023 71.964 -74.9470
45.874054 72.004 -74.6223
46.206476 71.967 -74.3452
46.541307 71.856 -74.4437
46.878565 71.700 -75.2875
47.218266 71.559 -77.1967
47.560429 71.520 -80.2705
47.905072 71.669 -84.1801
48.252212 72.044 -88.1342
48.601867 72.608 -91.2055
48.954056 73.272 -92.7849
49.308798 73.937 -92.7491
49.666109 74.526 -91.3199
50.026010 74.989 -88.8655
50.388520 75.300 -85.7794
50.753656 75.451 -82.4340
51.121437 75.447 -79.1691
51.491884 75.303 -76.2904
51.865016 75.048 -74.0578
52.240851 74.723 -72.6548
52.619410 74.383 -72.1418
53.000712 74.080 -72.4135
53.384777 73.855 -73.2044
53.771625 73.725 -74.1714
54.161276 73.674 -75.0223
54.553751 73.672 -75.6079
54.949070 73.685 -75.9318
55.347254 73.692 -76.0956
55.748323 73.685 -76.2273
56.152298 73.669 -76.4229
56.559201 73.653 -76.7191
56.969052 73.646 -77.0963
57.381873 73.650 -77.5077
57.797686 73.661 -77.9148
58.216512 73.677 -78.3098
58.638373 73.693 -78.7135
59.063291 73.711 -79.1545
59.491288 73.735 -79.6430
59.922386 73.771 -80.1568
60.356608 73.822 -80.6472
60.793977 73.881 -81.0641
61.234515 73.943 -81.3832
61.678246 73.999 -81.6201
62.125192 74.043 -81.8223
62.575377 74.076 -82.0470
63.028824 74.104 -82.3336
63.485557 74.135 -82.6868
63.945599 74.172 -83.0790
64.408975 74.218 -83.4690
64.875709 74.269 -83.8273
65.345825 74.320 -84.1507
65.819348 74.368 -84.4596
66.296302 74.415 -84.7804
66.776713 74.463 -85.1245
67.260604 74.517 -85.4781
67.748002 74.577 -85.8085
68.238932 74.641 -86.0847
68.733420 74.701 -86.2973
69.231490 74.753 -86.4674
69.733170 74.795 -86.6378
70.238485 74.829 -86.8524
70.747463 74.861 -87.1353
71.260128 74.897 -87.4797
71.776508 74.941 -87.8530
72.296630 74.994 -88.2149
72.820521 75.051 -88.5380
73.348209 75.108 -88.8180
73.879720 75.162 -89.0699
74.415083 75.213 -89.3152
74.954326 75.261 -89.5680
75.497475 75.310 -89.8291
76.044561 75.359 -90.0899
76.595612 75.408 -90.3420
77.150655 75.455 -90.5852
77.709720 75.501 -90.8282
78.272837 75.544 -91.0817
78.840034 75.588 -91.3509
79.411342 75.633 -91.6317
79.986789 75.680 -91.9144
80.566406 75.729 -92.1915
81.150224 75.780 -92.4637
81.738272 75.830 -92.7400
82.330581 75.881 -93.0315
82.927182 75.934 -93.3452
83.528107 75.987 -93.6797
84.133386 76.043 -94.0279
84.743051 76.099 -94.3803
85.357134 76.156 -94.7294
85.975667 76.214 -95.0701
86.598682 76.274 -95.3991
87.226212 76.335 -95.7144
87.858289 76.398 -96.0156
88.494946 76.463 -96.3047
89.136217 76.530 -96.5854
89.782135 76.599 -96.8620
90.432733 76.669 -97.1375
91.088046 76.739 -97.4136
91.748108 76.809 -97.6920
92.412952 76.878 -97.9751
93.082615 76.945 -98.2649
93.757130 77.010 -98.5605
94.436533 77.075 -98.8562
95.120859 77.140 -99.1422
95.810144 77.205 -99.4098
96.504423 77.269 -99.6575
97.203734 77.329 -99.8946
97.908112 77.385 -100.1378
98.617595 77.436 -100.4035
99.332219 77.485 -100.6991
100.052021 77.533 -101.0206
100.777039 77.580 -101.3580
101.507311 77.628 -101.7024
102.242875 77.677 -102.0499
102.983769 77.728 -102.3984
103.730032 77.781 -102.7417
104.481702 77.836 -103.0684
105.238820 77.892 -103.3683
106.001424 77.946 -103.6408
106.769554 77.997 -103.8981
107.543250 78.043 -104.1588
108.322553 78.088 -104.4365
109.107503 78.133 -104.7325
109.898141 78.179 -105.0379
110.694508 78.227 -105.3418
111.496646 78.276 -105.6378
112.304596 78.324 -105.9250
113.118402 78.372 -106.2045
113.938104 78.420 -106.4772
114.763747 78.466 -106.7439
115.595372 78.511 -107.0062
116.433024 78.555 -107.2683
117.276746 78.597 -107.5380
118.126581 78.639 -107.8263
118.982575 78.682 -108.1425
119.844772 78.730 -108.4877
120.713217 78.783 -108.8507
121.587954 78.840 -109.2120
122.469031 78.900 -109.5545
123.356492 78.958 -109.8718
124.250384 79.013 -110.1691
125.150753 79.064 -110.4569
126.057647 79.110 -110.7450
126.971113 79.154 -111.0395
127.891198 79.195 -111.3408
128.817950 79.236 -111.6440
129.751418 79.275 -111.9435
130.691651 79.311 -112.2395
131.638696 79.343 -112.5404
132.592604 79.372 -112.8540
133.553425 79.399 -113.1791
134.521208 79.423 -113.5030
135.496004 79.446 -113.8105
136.477864 79.466 -114.0937
137.466839 79.482 -114.3538
138.462981 79.493 -114.5935
139.466340 79.498 -114.8133
140.476971 79.496 -115.0143
141.494925 79.486 -115.1982
142.520256 79.468 -115.3668
143.553016 79.440 -115.5315
144.593260 79.399 -115.7265
145.641043 79.346 -116.0153
146.696418 79.283 -116.4962
147.759441 79.223 -117.2909
148.830166 79.191 -118.4459
149.908651 79.215 -119.7928
150.994951 79.298 -120.9902
152.089123 79.414 -121.7866
153.191223 79.532 -122.1865
154.301310 79.633 -122.3488
155.419441 79.715 -122.4218
156.545674 79.785 -122.4894
157.680069 79.848 -122.5891
158.822683 79.908 -122.7287
159.973578 79.966 -122.9019
161.132813 80.024 -123.1031
162.300447 80.081 -123.3304
163.476543 80.137 -123.5829
164.661162 80.193 -123.8591
165.854364 80.250 -124.1534
167.056213 80.306 -124.4575
168.266772 80.363 -124.7656
169.486102 80.418 -125.0759
170.714268 80.471 -125.3890
171.951334 80.521 -125.7077
173.197364 80.567 -126.0374
174.452424 80.610 -126.3808
175.716578 80.650 -126.7356
176.989893 80.687 -127.0962
178.272434 80.723 -127.4578
179.564270 80.757 -127.8180
180.865467 80.791 -128.1764
182.176092 80.825 -128.5316
183.496216 80.858 -128.8807
184.825905 80.893 -129.2207
186.165229 80.928 -129.5498
187.514259 80.963 -129.8694
188.873065 80.998 -130.1856
190.241717 81.033 -130.5053
191.620287 81.067 -130.8343
193.008847 81.101 -131.1767
194.407468 81.133 -131.5329
195.816225 81.164 -131.8993
197.235190 81.195 -132.2701
198.664438 81.224 -132.6397
200.104042 81.253 -133.0043
201.554078 81.282 -133.3631
203.014622 81.311 -133.7175
204.485750 81.341 -134.0698
205.967538 81.372 -134.4235
207.460064 81.404 -134.7816
208.963405 81.436 -135.1447
210.477640 81.469 -135.5102
212.002848 81.502 -135.8745
213.539108 81.533 -136.2359
215.086500 81.565 -136.5952
216.645105 81.597 -136.9544
218.215005 81.630 -137.3139
219.796281 81.665 -137.6732
221.389015 81.701 -138.0317
222.993292 81.737 -138.3892
224.609193 81.771 -138.7464
226.236804 81.803 -139.1062
227.876209 81.831 -139.4722
229.527494 81.856 -139.8460
231.190745 81.878 -140.2259
232.866048 81.897 -140.6105
234.553491 81.913 -141.0020
236.253163 81.928 -141.4059
237.965150 81.943 -141.8267
239.689544 81.961 -142.2637
241.426433 81.985 -142.7082
243.175909 82.015 -143.1399
244.938062 82.052 -143.5219
246.712984 82.091 -143.8057
248.500768 82.121 -143.9546
250.301507 82.132 -143.9883
252.115295 82.115 -144.0002
253.942226 82.077 -144.0854
255.782396 82.027 -144.2757
257.635901 81.976 -144.5535
259.502837 81.927 -144.8874
261.383301 81.884 -145.2508
263.277392 81.845 -145.6250
265.185209 81.810 -145.9984
267.106850 81.778 -146.3650
269.042417 81.748 -146.7226
270.992009 81.718 -147.0707
272.955729 81.689 -147.4084
274.933678 81.660 -147.7359
276.925961 81.631 -148.0552
278.932681 81.601 -148.3700
280.953942 81.571 -148.6827
282.989850 81.541 -148.9939
285.040511 81.512 -149.3027
287.106032 81.484 -149.6083
289.186521 81.459 -149.9102
291.282086 81.437 -150.2089
293.392836 81.418 -150.5045
295.518881 81.403 -150.7962
297.660333 81.392 -151.0827
299.817302 81.384 -151.3629
301.989902 81.379 -151.6371
304.178245 81.377 -151.9057
306.382446 81.379 -152.1688
308.602620 81.386 -152.4260
310.838882 81.398 -152.6761
313.091348 81.415 -152.9177
315.360137 81.436 -153.1516
317.645367 81.460 -153.3814
319.947156 81.488 -153.6106
322.265625 81.517 -153.8398
324.600895 81.546 -154.0660
326.953086 81.575 -154.2844
329.322323 81.601 -154.4916
331.708729 81.625 -154.6870
334.112427 81.646 -154.8719
