* Measurement data measured by REW V5.31.3
* Source: Microphone (Conexant ISST Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Aug 8, 2025 2:14:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Woofer + Tweeter Inv Aug 8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 69.996 139.8763
20.287556 69.983 139.8389
20.434568 69.962 139.7828
20.582645 69.935 139.7115
20.731796 69.903 139.6265
20.882027 69.865 139.5275
21.033346 69.823 139.4124
21.185763 69.777 139.2787
21.339284 69.729 139.1234
21.493917 69.679 138.9443
21.649671 69.629 138.7400
21.806553 69.578 138.5101
21.964572 69.528 138.2556
22.123737 69.481 137.9787
22.284054 69.436 137.6829
22.445534 69.396 137.3725
22.608183 69.360 137.0526
22.772012 69.329 136.7283
22.937027 69.304 136.4046
23.103238 69.284 136.0861
23.270654 69.267 135.7761
23.439282 69.252 135.4768
23.609133 69.237 135.1889
23.780215 69.222 134.9117
23.952536 69.207 134.6428
24.126106 69.194 134.3788
24.300934 69.182 134.1155
24.477028 69.173 133.8481
24.654399 69.168 133.5720
24.833055 69.166 133.2832
25.013005 69.168 132.9789
25.194260 69.174 132.6575
25.376828 69.182 132.3198
25.560719 69.193 131.9682
25.745942 69.208 131.6073
25.932508 69.227 131.2434
26.120426 69.251 130.8839
26.309705 69.281 130.5369
26.500356 69.318 130.2103
26.692388 69.360 129.9111
26.885812 69.405 129.6444
27.080638 69.452 129.4133
27.276876 69.499 129.2180
27.474535 69.544 129.0562
27.673627 69.585 128.9225
27.874161 69.622 128.8092
28.076149 69.652 128.7068
28.279600 69.676 128.6041
28.484526 69.694 128.4896
28.690937 69.707 128.3520
28.898843 69.715 128.1810
29.108256 69.720 127.9684
29.319186 69.724 127.7089
29.531645 69.729 127.4007
29.745644 69.736 127.0458
29.961193 69.749 126.6504
30.178304 69.768 126.2244
30.396989 69.794 125.7810
30.617258 69.829 125.3351
30.839123 69.871 124.9022
31.062596 69.920 124.4967
31.287688 69.975 124.1304
31.514412 70.032 123.8112
31.742778 70.090 123.5422
31.972800 70.147 123.3209
32.204488 70.201 123.1404
32.437855 70.250 122.9891
32.672913 70.294 122.8526
32.909674 70.333 122.7154
33.148151 70.369 122.5626
33.388356 70.403 122.3823
33.630302 70.437 122.1674
33.874001 70.474 121.9171
34.119466 70.514 121.6377
34.366710 70.558 121.3419
34.615745 70.606 121.0472
34.866585 70.656 120.7723
35.119243 70.708 120.5344
35.373731 70.760 120.3446
35.630064 70.808 120.2058
35.888254 70.849 120.1106
36.148315 70.882 120.0423
36.410261 70.906 119.9761
36.674104 70.920 119.8839
36.939860 70.928 119.7380
37.207542 70.933 119.5175
37.477163 70.940 119.2127
37.748738 70.954 118.8287
38.022281 70.978 118.3858
38.297806 71.013 117.9160
38.575327 71.057 117.4560
38.854860 71.109 117.0383
39.136419 71.164 116.6826
39.420017 71.216 116.3906
39.705671 71.262 116.1452
39.993395 71.299 115.9150
40.283203 71.329 115.6629
40.575112 71.355 115.3579
40.869136 71.384 114.9870
41.165290 71.424 114.5635
41.463591 71.479 114.1293
41.764053 71.552 113.7466
42.066693 71.638 113.4815
42.371525 71.727 113.3831
42.678567 71.808 113.4654
42.987834 71.868 113.6980
43.299341 71.895 114.0082
43.613106 71.888 114.2927
43.929145 71.849 114.4381
44.247473 71.794 114.3517
44.568109 71.743 113.9966
44.891068 71.721 113.4235
45.216367 71.744 112.7795
45.544023 71.818 112.2780
45.874054 71.926 112.1332
46.206476 72.037 112.4871
46.541307 72.109 113.3604
46.878565 72.104 114.6388
47.218266 71.988 116.0769
47.560429 71.745 117.3023
47.905072 71.377 117.8069
48.252212 70.921 116.9440
48.601867 70.462 114.0070
48.954056 70.140 108.5687
49.308798 70.105 101.1693
49.666109 70.424 93.6326
50.026010 71.025 87.9562
50.388520 71.752 84.9629
50.753656 72.461 84.3630
51.121437 73.061 85.4619
51.491884 73.509 87.5775
51.865016 73.793 90.1514
52.240851 73.925 92.7481
52.619410 73.931 95.0392
53.000712 73.849 96.8027
53.384777 73.724 97.9368
53.771625 73.601 98.4742
54.161276 73.513 98.5691
54.553751 73.475 98.4407
54.949070 73.483 98.2912
55.347254 73.516 98.2382
55.748323 73.552 98.2961
56.152298 73.578 98.4036
56.559201 73.591 98.4734
56.969052 73.595 98.4396
57.381873 73.601 98.2852
57.797686 73.618 98.0436
58.216512 73.647 97.7749
58.638373 73.685 97.5320
59.063291 73.725 97.3344
59.491288 73.760 97.1633
59.922386 73.788 96.9756
60.356608 73.811 96.7294
60.793977 73.837 96.4057
61.234515 73.871 96.0182
61.678246 73.917 95.6063
62.125192 73.975 95.2171
62.575377 74.041 94.8854
63.028824 74.108 94.6234
63.485557 74.172 94.4210
63.945599 74.231 94.2555
64.408975 74.282 94.1025
64.875709 74.328 93.9424
65.345825 74.369 93.7622
65.819348 74.407 93.5534
66.296302 74.444 93.3104
66.776713 74.481 93.0309
67.260604 74.521 92.7179
67.748002 74.566 92.3825
68.238932 74.617 92.0424
68.733420 74.673 91.7176
69.231490 74.732 91.4235
69.733170 74.792 91.1659
70.238485 74.850 90.9392
70.747463 74.904 90.7301
71.260128 74.954 90.5230
71.776508 75.001 90.3065
72.296630 75.046 90.0761
72.820521 75.090 89.8336
73.348209 75.134 89.5826
73.879720 75.178 89.3240
74.415083 75.220 89.0530
74.954326 75.262 88.7621
75.497475 75.305 88.4456
76.044561 75.351 88.1069
76.595612 75.402 87.7595
77.150655 75.458 87.4235
77.709720 75.517 87.1160
78.272837 75.576 86.8430
78.840034 75.633 86.5967
79.411342 75.688 86.3602
79.986789 75.740 86.1169
80.566406 75.791 85.8583
81.150224 75.845 85.5851
81.738272 75.901 85.3029
82.330581 75.960 85.0155
82.927182 76.019 84.7210
83.528107 76.079 84.4144
84.133386 76.139 84.0931
84.743051 76.199 83.7616
85.357134 76.261 83.4304
85.975667 76.324 83.1119
86.598682 76.388 82.8143
87.226212 76.453 82.5380
87.858289 76.518 82.2778
88.494946 76.584 82.0266
89.136217 76.651 81.7788
89.782135 76.720 81.5323
90.432733 76.789 81.2863
91.088046 76.857 81.0387
91.748108 76.924 80.7855
92.412952 76.989 80.5213
93.082615 77.051 80.2415
93.757130 77.111 79.9454
94.436533 77.169 79.6356
95.120859 77.229 79.3173
95.810144 77.289 78.9958
96.504423 77.350 78.6751
97.203734 77.413 78.3569
97.908112 77.476 78.0404
98.617595 77.537 77.7227
99.332219 77.596 77.4000
100.052021 77.653 77.0697
100.777039 77.709 76.7329
101.507311 77.765 76.3955
102.242875 77.822 76.0661
102.983769 77.878 75.7514
103.730032 77.934 75.4516
104.481702 77.987 75.1604
105.238820 78.039 74.8692
106.001424 78.090 74.5732
106.769554 78.141 74.2741
107.543250 78.192 73.9775
108.322553 78.243 73.6871
109.107503 78.292 73.4000
109.898141 78.339 73.1079
110.694508 78.386 72.8038
111.496646 78.433 72.4878
112.304596 78.481 72.1668
113.118402 78.529 71.8481
113.938104 78.578 71.5333
114.763747 78.626 71.2176
115.595372 78.675 70.8956
116.433024 78.724 70.5659
117.276746 78.776 70.2313
118.126581 78.831 69.8960
118.982575 78.888 69.5632
119.844772 78.949 69.2354
120.713217 79.011 68.9143
121.587954 79.072 68.5995
122.469031 79.132 68.2874
123.356492 79.189 67.9735
124.250384 79.242 67.6543
125.150753 79.293 67.3283
126.057647 79.342 66.9966
126.971113 79.390 66.6617
127.891198 79.437 66.3269
128.817950 79.482 65.9944
129.751418 79.526 65.6643
130.691651 79.567 65.3359
131.638696 79.604 65.0085
132.592604 79.637 64.6793
133.553425 79.664 64.3428
134.521208 79.687 63.9939
135.496004 79.706 63.6319
136.477864 79.722 63.2617
137.466839 79.735 62.8893
138.462981 79.743 62.5161
139.466340 79.747 62.1341
140.476971 79.745 61.7277
141.494925 79.738 61.2777
142.520256 79.729 60.7600
143.553016 79.726 60.1469
144.593260 79.736 59.4210
145.641043 79.772 58.5889
146.696418 79.844 57.6967
147.759441 79.958 56.8692
148.830166 80.105 56.3121
149.908651 80.256 56.1876
150.994951 80.373 56.4580
152.089123 80.438 56.8988
153.191223 80.457 57.2712
154.301310 80.450 57.4539
155.419441 80.439 57.4362
156.545674 80.435 57.2549
157.680069 80.445 56.9617
158.822683 80.471 56.6057
159.973578 80.509 56.2200
161.132813 80.557 55.8231
162.300447 80.612 55.4279
163.476543 80.671 55.0412
164.661162 80.733 54.6645
165.854364 80.796 54.2963
167.056213 80.859 53.9323
168.266772 80.921 53.5677
169.486102 80.983 53.2001
170.714268 81.044 52.8305
171.951334 81.103 52.4602
173.197364 81.159 52.0891
174.452424 81.213 51.7166
175.716578 81.263 51.3431
176.989893 81.310 50.9708
178.272434 81.355 50.6014
179.564270 81.398 50.2352
180.865467 81.439 49.8699
182.176092 81.479 49.5028
183.496216 81.519 49.1329
184.825905 81.560 48.7609
186.165229 81.603 48.3901
187.514259 81.648 48.0249
188.873065 81.695 47.6673
190.241717 81.743 47.3148
191.620287 81.792 46.9625
193.008847 81.839 46.6070
194.407468 81.886 46.2473
195.816225 81.930 45.8857
197.235190 81.972 45.5244
198.664438 82.011 45.1625
200.104042 82.049 44.7955
201.554078 82.087 44.4199
203.014622 82.126 44.0361
204.485750 82.168 43.6485
205.967538 82.213 43.2633
207.460064 82.261 42.8851
208.963405 82.309 42.5154
210.477640 82.356 42.1521
212.002848 82.402 41.7910
213.539108 82.447 41.4287
215.086500 82.491 41.0645
216.645105 82.536 40.6980
218.215005 82.583 40.3291
219.796281 82.631 39.9578
221.389015 82.681 39.5854
222.993292 82.732 39.2141
224.609193 82.782 38.8461
226.236804 82.830 38.4819
227.876209 82.875 38.1202
229.527494 82.915 37.7582
231.190745 82.950 37.3934
232.866048 82.982 37.0248
234.553491 83.009 36.6512
236.253163 83.033 36.2687
237.965150 83.055 35.8693
239.689544 83.074 35.4421
241.426433 83.094 34.9761
243.175909 83.118 34.4647
244.938062 83.148 33.9132
246.712984 83.189 33.3528
248.500768 83.239 32.8477
250.301507 83.293 32.4717
252.115295 83.337 32.2427
253.942226 83.364 32.1007
255.782396 83.374 31.9710
257.635901 83.372 31.8086
259.502837 83.363 31.5994
261.383301 83.350 31.3462
263.277392 83.338 31.0584
265.185209 83.327 30.7463
267.106850 83.318 30.4199
269.042417 83.310 30.0881
270.992009 83.305 29.7576
272.955729 83.301 29.4319
274.933678 83.297 29.1123
276.925961 83.294 28.8000
278.932681 83.291 28.4950
280.953942 83.287 28.1955
282.989850 83.284 27.8974
285.040511 83.281 27.5968
287.106032 83.280 27.2915
289.186521 83.281 26.9821
291.282086 83.287 26.6721
293.392836 83.298 26.3659
295.518881 83.314 26.0668
297.660333 83.333 25.7760
299.817302 83.356 25.4925
301.989902 83.383 25.2150
304.178245 83.413 24.9432
306.382446 83.447 24.6775
308.602620 83.486 24.4174
310.838882 83.530 24.1613
313.091348 83.579 23.9079
315.360137 83.634 23.6575
317.645367 83.693 23.4109
319.947156 83.755 23.1683
322.265625 83.819 22.9293
324.600895 83.883 22.6940
326.953086 83.946 22.4637
329.322323 84.007 22.2393
331.708729 84.066 22.0203
334.112427 84.122 21.8047
336.533543 84.175 21.5903
338.972204 84.226 21.3755
341.428536 84.274 21.1581
343.902668 84.321 20.9348
346.394729 84.367 20.7039
348.904848 84.415 20.4705
351.433156 84.466 20.2470
353.979786 84.519 20.0438
356.544869 84.573 19.8605
359.128540 84.626 19.6900
361.730934 84.679 19.5247
364.352185 84.729 19.3595
366.992431 84.777 19.1916
369.651810 84.825 19.0207
372.330459 84.873 18.8484
375.028519 84.922 18.6765
377.746130 84.974 18.5055
380.483434 85.029 18.3355
383.240574 85.087 18.1669
386.017693 85.148 17.9999
388.814937 85.211 17.8339
391.632450 85.276 17.6673
394.470380 85.340 17.4996
397.328875 85.404 17.3303
400.208084 85.467 17.1591
403.108157 85.529 16.9860
406.029245 85.592 16.8116
408.971500 85.656 16.6365
