* Measurement data measured by REW V5.31.3
* Source: Microphone (Conexant ISST Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Aug 8, 2025 4:38:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Tweeter Only 2 Aug 8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 500.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
500.603027 73.665 9.4218
504.230603 73.894 8.4710
507.884466 74.129 7.5187
511.564806 74.366 6.5697
515.271816 74.599 5.6233
519.005688 74.826 4.6751
522.766617 75.043 3.7195
526.554799 75.250 2.7501
530.370432 75.448 1.7614
534.213715 75.639 0.7509
538.084848 75.829 -0.2739
541.984033 76.018 -1.2897
545.911472 76.208 -2.2572
549.867372 76.393 -3.1396
553.851938 76.568 -3.9401
557.865377 76.731 -4.7090
561.907899 76.883 -5.4947
565.979716 77.031 -6.3178
570.081038 77.178 -7.1778
574.212080 77.326 -8.0670
578.373058 77.478 -8.9784
582.564187 77.631 -9.9066
586.785688 77.787 -10.8465
591.037779 77.942 -11.7944
595.320682 78.096 -12.7490
599.634621 78.247 -13.7108
603.979821 78.395 -14.6811
608.356507 78.540 -15.6615
612.764909 78.682 -16.6530
617.205257 78.822 -17.6549
621.677780 78.963 -18.6644
626.182714 79.105 -19.6772
630.720292 79.247 -20.6894
635.290751 79.389 -21.6999
639.894330 79.529 -22.7129
644.531268 79.666 -23.7398
649.201807 79.799 -24.7961
653.906191 79.930 -25.8890
658.644665 80.061 -27.0058
663.417476 80.193 -28.1272
668.224872 80.326 -29.2404
673.067105 80.460 -30.3413
677.944427 80.595 -31.4304
682.857091 80.730 -32.5102
687.805355 80.866 -33.5839
692.789476 81.002 -34.6537
697.809715 81.137 -35.7212
702.866331 81.271 -36.7885
707.959591 81.403 -37.8569
713.089758 81.533 -38.9263
718.257100 81.661 -39.9959
723.461887 81.787 -41.0652
728.704390 81.910 -42.1342
733.984882 82.030 -43.2034
739.303640 82.147 -44.2741
744.660938 82.260 -45.3515
750.057059 82.370 -46.4451
755.492281 82.477 -47.5648
760.966890 82.585 -48.7118
766.481169 82.694 -49.8800
772.035408 82.806 -51.0624
777.629895 82.919 -52.2535
783.264922 83.034 -53.4499
788.940782 83.149 -54.6493
794.657772 83.262 -55.8501
800.416190 83.373 -57.0514
806.216336 83.480 -58.2528
812.058512 83.584 -59.4548
817.943022 83.686 -60.6573
823.870175 83.788 -61.8593
829.840278 83.889 -63.0575
835.853642 83.992 -64.2468
841.910582 84.094 -65.4209
848.011413 84.195 -66.5764
854.156454 84.292 -67.7173
860.346023 84.383 -68.8557
866.580445 84.467 -70.0016
872.860045 84.544 -71.1596
879.185148 84.616 -72.3301
885.556086 84.684 -73.5123
891.973191 84.747 -74.7059
898.436796 84.807 -75.9105
904.947240 84.864 -77.1261
911.504860 84.920 -78.3510
918.110000 84.973 -79.5838
924.763004 85.026 -80.8232
931.464218 85.077 -82.0676
938.213991 85.128 -83.3138
945.012677 85.178 -84.5554
951.860628 85.227 -85.7842
958.758203 85.275 -86.9951
965.705760 85.320 -88.1898
972.703662 85.362 -89.3719
979.752274 85.402 -90.5437
986.851962 85.438 -91.7070
994.003098 85.473 -92.8631
1001.206055 85.505 -94.0133
1008.461206 85.538 -95.1581
1015.768932 85.570 -96.2982
1023.129613 85.602 -97.4338
1030.543631 85.634 -98.5651
1038.011375 85.666 -99.6917
1045.533234 85.696 -100.8132
1053.109599 85.724 -101.9312
1060.740865 85.750 -103.0500
1068.427430 85.774 -104.1722
1076.169696 85.796 -105.2958
1083.968065 85.817 -106.4165
1091.822945 85.837 -107.5292
1099.734744 85.855 -108.6293
1107.703875 85.872 -109.7125
1115.730754 85.886 -110.7751
1123.815799 85.897 -111.8143
1131.959431 85.903 -112.8285
1140.162076 85.906 -113.8155
1148.424161 85.905 -114.7728
1156.746115 85.901 -115.7009
1165.128375 85.894 -116.6061
1173.571375 85.885 -117.4968
1182.075557 85.875 -118.3803
1190.641364 85.865 -119.2613
1199.269242 85.855 -120.1419
1207.959641 85.845 -121.0218
1216.713015 85.837 -121.8987
1225.529819 85.832 -122.7677
1234.410513 85.828 -123.6215
1243.355561 85.828 -124.4520
1252.365427 85.829 -125.2532
1261.440584 85.831 -126.0237
1270.581502 85.833 -126.7658
1279.788659 85.835 -127.4819
1289.062536 85.837 -128.1749
1298.403614 85.839 -128.8492
1307.812382 85.840 -129.5107
1317.289330 85.841 -130.1658
1326.834951 85.841 -130.8209
1336.449744 85.843 -131.4806
1346.134210 85.845 -132.1473
1355.888853 85.850 -132.8221
1365.714183 85.857 -133.5064
1375.610711 85.867 -134.2011
1385.578953 85.880 -134.9050
1395.619429 85.897 -135.6139
1405.732663 85.917 -136.3222
1415.919181 85.940 -137.0249
1426.179515 85.964 -137.7193
1436.514200 85.987 -138.4072
1446.923774 86.007 -139.0952
1457.408780 86.022 -139.7941
1467.969765 86.032 -140.5147
1478.607279 86.035 -141.2650
1489.321877 86.031 -142.0513
1500.114117 86.019 -142.8785
1510.984562 86.000 -143.7494
1521.933779 85.975 -144.6628
1532.962339 85.943 -145.6132
1544.070816 85.906 -146.5902
1555.259790 85.864 -147.5803
1566.529843 85.815 -148.5715
1577.881564 85.759 -149.5580
1589.315544 85.694 -150.5404
1600.832380 85.621 -151.5234
1612.432671 85.540 -152.5132
1624.117023 85.451 -153.5173
1635.886045 85.353 -154.5427
1647.740349 85.244 -155.5949
1659.680555 85.127 -156.6760
1671.707285 85.000 -157.7832
1683.821165 84.865 -158.9062
1696.022827 84.723 -160.0289
1708.312907 84.574 -161.1333
1720.692047 84.418 -162.2031
1733.160891 84.253 -163.2270
1745.720089 84.076 -164.2010
1758.370297 83.887 -165.1297
1771.112173 83.683 -166.0229
1783.946381 83.466 -166.8906
1796.873592 83.237 -167.7377
1809.894479 82.999 -168.5620
1823.009721 82.754 -169.3530
1836.220000 82.505 -170.0941
1849.526008 82.256 -170.7637
1862.928435 82.007 -171.3366
1876.427983 81.758 -171.7887
1890.025353 81.507 -172.1038
1903.721256 81.253 -172.2774
1917.516405 80.996 -172.3149
1931.411520 80.736 -172.2282
1945.407324 80.476 -172.0308
1959.504547 80.221 -171.7344
1973.703925 79.976 -171.3451
1988.006197 79.747 -170.8594
2002.412109 79.540 -170.2645
2016.922413 79.357 -169.5461
2031.537864 79.200 -168.6977
2046.259225 79.068 -167.7267
2061.087263 78.959 -166.6582
2076.022751 78.869 -165.5338
2091.066467 78.798 -164.4062
2106.219197 78.747 -163.3276
2121.481730 78.716 -162.3392
2136.854861 78.709 -161.4634
2152.339392 78.726 -160.7029
2167.936130 78.768 -160.0418
2183.645889 78.828 -159.4566
2199.469488 78.900 -158.9310
2215.407750 78.972 -158.4654
2231.461508 79.038 -158.0764
2247.631598 79.091 -157.7865
2263.918863 79.129 -157.6126
2280.324152 79.152 -157.5571
2296.848321 79.161 -157.6024
2313.492231 79.156 -157.7101
2330.256749 79.137 -157.8286
2347.142750 79.100 -157.9089
2364.151114 79.043 -157.9196
2381.282728 78.958 -157.8542
2398.538484 78.845 -157.7272
2415.919282 78.705 -157.5594
2433.426030 78.545 -157.3598
2451.059638 78.372 -157.1122
2468.821026 78.197 -156.7742
2486.711121 78.026 -156.2913
2504.730855 77.863 -155.6176
2522.881167 77.709 -154.7335
2541.163004 77.565 -153.6502
2559.577319 77.434 -152.4040
2578.125071 77.324 -151.0420
2596.807228 77.242 -149.6081
2615.624764 77.198 -148.1284
2634.578659 77.197 -146.6085
2653.669902 77.241 -145.0464
2672.899488 77.323 -143.4543
2692.268420 77.435 -141.8717
2711.777706 77.570 -140.3615
2731.428365 77.721 -138.9931
2751.221421 77.888 -137.8177
2771.157906 78.070 -136.8508
2791.238858 78.267 -136.0726
2811.465326 78.472 -135.4447
2831.838363 78.679 -134.9339
2852.359031 78.880 -134.5300
2873.028400 79.071 -134.2459
2893.847548 79.254 -134.1028
2914.817560 79.432 -134.1098
2935.939530 79.612 -134.2488
2957.214558 79.795 -134.4773
2978.643754 79.980 -134.7480
3000.228234 80.162 -135.0334
3021.969125 80.336 -135.3374
3043.867559 80.504 -135.6845
3065.924678 80.668 -136.0962
3088.141632 80.834 -136.5718
3110.519579 81.004 -137.0858
3133.059686 81.177 -137.6060
3155.763128 81.346 -138.1167
3178.631089 81.505 -138.6299
3201.664760 81.653 -139.1773
3224.865343 81.789 -139.7860
3248.234046 81.918 -140.4601
3271.772089 82.038 -141.1792
3295.480699 82.147 -141.9190
3319.361110 82.240 -142.6735
3343.414569 82.312 -143.4613
3367.642329 82.362 -144.3100
3392.045654 82.393 -145.2311
3416.625815 82.406 -146.2086
3441.384094 82.401 -147.2112
3466.321782 82.374 -148.2163
3491.440178 82.322 -149.2247
3516.740593 82.243 -150.2506
3542.224345 82.139 -151.2972
3567.892763 82.015 -152.3411
3593.747185 81.873 -153.3418
3619.788958 81.714 -154.2659
3646.019441 81.538 -155.1024
3672.440001 81.348 -155.8553
3699.052015 81.148 -156.5188
3725.856871 80.944 -157.0618
3752.855966 80.739 -157.4389
3780.050707 80.535 -157.6173
3807.442513 80.333 -157.5938
3835.032810 80.140 -157.3830
3862.823039 79.966 -156.9924
3890.814647 79.820 -156.4144
3919.009094 79.709 -155.6482
3947.407849 79.637 -154.7282
3976.012394 79.609 -153.7266
4004.824219 79.631 -152.7236
4033.844826 79.708 -151.7775
4063.075728 79.839 -150.9230
4092.518450 80.016 -150.1961
4122.174526 80.226 -149.6489
4152.045502 80.462 -149.3323
4182.132935 80.716 -149.2630
4212.438394 80.980 -149.4163
4242.963459 81.243 -149.7534
4273.709721 81.495 -150.2498
4304.678784 81.727 -150.8912
4335.872261 81.936 -151.6466
4367.291779 82.119 -152.4562
4398.938975 82.269 -153.2536
4430.815500 82.382 -153.9926
4462.923016 82.457 -154.6420
4495.263196 82.495 -155.1584
4527.837726 82.500 -155.4778
4560.648305 82.470 -155.5448
4593.696642 82.406 -155.3403
4626.984462 82.314 -154.8743
4660.513498 82.200 -154.1612
4694.285500 82.074 -153.2211
4728.302228 81.941 -152.1091
4762.565455 81.805 -150.9244
4797.076968 81.672 -149.7759
4831.838565 81.547 -148.7428
4866.852059 81.428 -147.8743
4902.119275 81.312 -147.2112
4937.642052 81.193 -146.7798
4973.422242 81.068 -146.5647
5009.461710 80.933 -146.5088
5045.762334 80.783 -146.5471
5082.326008 80.617 -146.6255
5119.154637 80.438 -146.6806
5156.250142 80.252 -146.6269
5193.614456 80.068 -146.3839
5231.249528 79.894 -145.9068
5269.157318 79.745 -145.1783
5307.339804 79.637 -144.1920
5345.798976 79.585 -142.9682
5384.536839 79.598 -141.5792
5423.555413 79.683 -140.1299
5462.856731 79.842 -138.7166
5502.442843 80.066 -137.4198
5542.315812 80.337 -136.3160
5582.477717 80.638 -135.4633
5622.930652 80.955 -134.8754
5663.676725 81.272 -134.5353
5704.718061 81.577 -134.4248
5746.056800 81.861 -134.5234
5787.695096 82.121 -134.7966
5829.635121 82.353 -135.2135
5871.879060 82.554 -135.7639
5914.429116 82.726 -136.4419
5957.287508 82.867 -137.2318
6000.456469 82.975 -138.1226
6043.938250 83.050 -139.1093
6087.735118 83.091 -140.1721
6131.849356 83.096 -141.2752
6176.283264 83.065 -142.3839
6221.039159 82.999 -143.4568
6266.119373 82.903 -144.4353
6311.526257 82.782 -145.2624
6357.262178 82.642 -145.8957
6403.329520 82.494 -146.3002
6449.730685 82.351 -146.4596
6496.468093 82.223 -146.3977
6543.544179 82.124 -146.1714
6590.961397 82.062 -145.8575
6638.722220 82.039 -145.5533
6686.829138 82.054 -145.3562
6735.284659 82.100 -145.3345
6784.091308 82.165 -145.5279
6833.251630 82.238 -145.9525
6882.768188 82.308 -146.5926
6932.643563 82.365 -147.4155
6982.880357 82.402 -148.3877
7033.481186 82.418 -149.4706
7084.448690 82.412 -150.6262
7135.785526 82.385 -151.8259
7187.494369 82.337 -153.0382
7239.577916 82.269 -154.2255
7292.038882 82.180 -155.3494
