* Measurement data measured by REW V5.31.3
* Source: Microphone (Conexant ISST Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Aug 8, 2025 2:09:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Tweeter Only 2 Aug 8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 47.256 127.1082
20.287556 47.116 128.2043
20.434568 46.884 129.7126
20.582645 46.552 131.2952
20.731796 46.112 132.5637
20.882027 45.569 133.0492
21.033346 44.949 132.1308
21.185763 44.327 128.9404
21.339284 43.847 122.3772
21.493917 43.711 111.7160
21.649671 44.088 98.2612
21.806553 44.967 85.7946
21.964572 46.176 77.2523
22.123737 47.517 72.8422
22.284054 48.857 71.5546
22.445534 50.120 72.4059
22.608183 51.279 74.7070
22.772012 52.324 78.0131
22.937027 53.257 82.0366
23.103238 54.083 86.5878
23.270654 54.807 91.5378
23.439282 55.434 96.7952
23.609133 55.969 102.2934
23.780215 56.417 107.9820
23.952536 56.781 113.8210
24.126106 57.064 119.7776
24.300934 57.268 125.8232
24.477028 57.395 131.9321
24.654399 57.443 138.0788
24.833055 57.411 144.2377
25.013005 57.297 150.3802
25.194260 57.096 156.4741
25.376828 56.804 162.4793
25.560719 56.415 168.3468
25.745942 55.922 174.0102
25.932508 55.319 179.3802
26.120426 54.597 -175.6712
26.309705 53.750 -171.3318
26.500356 52.776 -167.8885
26.692388 51.680 -165.7914
26.885812 50.490 -165.7523
27.080638 49.282 -168.8335
27.276876 48.209 -176.2285
27.474535 47.496 172.0695
27.673627 47.329 159.2009
27.874161 47.688 149.4591
28.076149 48.367 144.2595
28.279600 49.143 142.7218
28.484526 49.871 143.6339
28.690937 50.480 146.0987
28.898843 50.944 149.5285
29.108256 51.254 153.5345
29.319186 51.411 157.8449
29.531645 51.418 162.2503
29.745644 51.278 166.5694
29.961193 50.994 170.6260
30.178304 50.573 174.2276
30.396989 50.021 177.1496
30.617258 49.354 179.1187
30.839123 48.599 179.8093
31.062596 47.808 178.8754
31.287688 47.062 176.0667
31.514412 46.471 171.4664
31.742778 46.139 165.7393
31.972800 46.112 160.0424
32.204488 46.348 155.4671
32.437855 46.742 152.5503
32.672913 47.185 151.2745
32.909674 47.593 151.3353
33.148151 47.917 152.3549
33.388356 48.130 153.9758
33.630302 48.218 155.8793
33.874001 48.181 157.7743
34.119466 48.025 159.3810
34.366710 47.765 160.4178
34.615745 47.432 160.6028
34.866585 47.074 159.6884
35.119243 46.761 157.5464
35.373731 46.573 154.3022
35.630064 46.578 150.4315
35.888254 46.792 146.6723
36.148315 47.178 143.7327
36.410261 47.658 142.0188
36.674104 48.149 141.5821
36.939860 48.585 142.2335
37.207542 48.922 143.6702
37.477163 49.137 145.5532
37.748738 49.220 147.5374
38.022281 49.178 149.2780
38.297806 49.036 150.4426
38.575327 48.839 150.7492
38.854860 48.653 150.0482
39.136419 48.557 148.4413
39.420017 48.611 146.3552
39.705671 48.827 144.4362
39.993395 49.158 143.2734
40.283203 49.523 143.1559
40.575112 49.838 144.0212
40.869136 50.041 145.5376
41.165290 50.100 147.1934
41.463591 50.022 148.3337
41.764053 49.862 148.1730
42.066693 49.740 145.9054
42.371525 49.826 141.1553
42.678567 50.257 134.7853
42.987834 51.027 128.9746
43.299341 51.991 125.6586
43.613106 52.970 125.3121
43.929145 53.831 127.3663
44.247473 54.505 130.9491
44.568109 54.973 135.1893
44.891068 55.262 139.2209
45.216367 55.455 142.0908
45.544023 55.708 142.7242
45.874054 56.229 140.2491
46.206476 57.160 135.1009
46.541307 58.466 129.9293
46.878565 59.963 127.7665
47.218266 61.467 129.6101
47.560429 62.857 134.8597
47.905072 64.073 142.5842
48.252212 65.092 152.0328
48.601867 65.905 162.6822
48.954056 66.514 174.1753
49.308798 66.920 -173.7392
49.666109 67.128 -161.2493
50.026010 67.138 -148.5082
50.388520 66.952 -135.6541
50.753656 66.568 -122.8287
51.121437 65.982 -110.1928
51.491884 65.191 -97.9511
51.865016 64.189 -86.3838
52.240851 62.977 -75.8976
52.619410 61.560 -67.0979
53.000712 59.956 -60.8581
53.384777 58.216 -58.2184
53.771625 56.427 -59.6306
54.161276 54.720 -63.4340
54.553751 53.226 -66.1271
54.949070 51.990 -65.5796
55.347254 50.936 -62.1315
55.748323 49.928 -57.1900
56.152298 48.862 -52.3192
56.559201 47.717 -49.0383
56.969052 46.576 -48.4568
57.381873 45.604 -50.0700
57.797686 44.956 -50.9231
58.216512 44.645 -47.8558
58.638373 44.531 -39.8827
59.063291 44.440 -27.4091
59.491288 44.250 -10.8733
59.922386 43.907 9.7109
60.356608 43.395 34.4988
60.793977 42.716 62.7493
61.234515 41.877 91.5484
61.678246 40.889 116.7734
62.125192 39.771 135.1040
62.575377 38.564 141.7946
63.028824 37.353 122.5138
63.485557 36.269 86.5854
63.945599 35.479 76.1718
64.408975 35.117 77.3036
64.875709 35.217 81.3251
65.345825 35.696 86.0277
65.819348 36.391 91.0381
66.296302 37.129 96.4790
66.776713 37.767 102.4561
67.260604 38.212 108.8832
67.748002 38.408 115.4866
68.238932 38.329 121.8586
68.733420 37.975 127.4874
69.231490 37.365 131.7512
69.733170 36.548 133.9077
70.238485 35.617 133.1718
70.747463 34.723 129.0897
71.260128 34.055 122.2607
71.776508 33.759 114.4471
72.296630 33.858 107.0229
72.820521 34.300 99.4723
73.348209 35.044 89.7202
73.879720 36.071 76.4410
74.415083 37.312 62.8528
74.954326 38.627 54.4131
75.497475 39.859 52.2318
76.044561 40.888 54.4125
76.595612 41.644 58.9854
77.150655 42.104 64.5112
77.709720 42.282 69.9293
78.272837 42.232 74.4283
78.840034 42.054 77.4767
79.411342 41.875 79.0080
79.986789 41.801 79.5523
80.566406 41.851 79.9673
81.150224 41.952 80.8306
81.738272 42.006 82.0778
82.330581 41.962 83.1411
82.927182 41.845 83.3477
83.528107 41.738 82.3848
84.133386 41.731 80.6412
84.743051 41.845 79.0193
85.357134 42.013 78.2119
85.975667 42.144 78.2253
86.598682 42.184 78.5486
87.226212 42.145 78.6005
87.858289 42.078 78.0895
88.494946 42.038 77.1298
89.136217 42.039 76.0325
89.782135 42.056 74.9509
90.432733 42.068 73.7341
91.088046 42.083 72.1046
91.748108 42.140 69.9575
92.412952 42.273 67.5044
93.082615 42.487 65.1207
93.757130 42.759 63.0708
94.436533 43.063 61.4060
95.120859 43.384 60.0674
95.810144 43.716 59.0018
96.504423 44.054 58.1809
97.203734 44.395 57.5818
97.908112 44.740 57.2119
98.617595 45.081 57.1523
99.332219 45.395 57.5259
100.052021 45.644 58.3682
100.777039 45.784 59.5050
101.507311 45.792 60.5423
102.242875 45.683 60.9780
102.983769 45.512 60.3859
103.730032 45.359 58.6063
104.481702 45.307 55.8447
105.238820 45.406 52.5890
106.001424 45.659 49.4099
106.769554 46.034 46.7919
107.543250 46.470 45.0311
108.322553 46.903 44.1693
109.107503 47.286 43.9976
109.898141 47.601 44.1606
110.694508 47.860 44.3228
111.496646 48.099 44.3138
112.304596 48.345 44.1814
113.118402 48.610 44.1165
113.938104 48.875 44.3049
114.763747 49.113 44.8087
115.595372 49.296 45.5309
116.433024 49.412 46.2574
117.276746 49.471 46.7485
118.126581 49.500 46.8507
118.982575 49.531 46.5663
119.844772 49.580 46.0051
120.713217 49.652 45.2524
121.587954 49.747 44.3077
122.469031 49.874 43.1824
123.356492 50.039 42.0208
124.250384 50.230 41.0433
125.150753 50.417 40.3418
126.057647 50.578 39.7839
126.971113 50.714 39.1413
127.891198 50.848 38.2854
128.817950 51.001 37.2562
129.751418 51.183 36.1759
130.691651 51.389 35.1461
131.638696 51.608 34.2249
132.592604 51.828 33.4259
133.553425 52.035 32.6740
134.521208 52.231 31.7886
135.496004 52.443 30.6010
136.477864 52.708 29.1173
137.466839 53.060 27.4943
138.462981 53.523 25.8292
139.466340 54.130 24.0814
140.476971 54.922 22.1949
141.494925 55.929 20.1891
142.520256 57.146 18.2467
143.553016 58.522 16.8658
144.593260 59.965 16.7294
145.641043 61.366 18.3516
146.696418 62.617 22.0360
147.759441 63.614 27.9292
148.830166 64.258 35.7686
149.908651 64.479 44.6799
150.994951 64.249 53.3411
152.089123 63.595 60.3839
153.191223 62.592 64.8686
154.301310 61.343 66.5948
155.419441 59.972 65.9657
156.545674 58.607 63.6583
157.680069 57.381 60.4840
158.822683 56.396 57.1372
159.973578 55.698 53.9538
161.132813 55.276 51.0359
162.300447 55.077 48.3978
163.476543 55.044 46.0126
164.661162 55.127 43.9006
165.854364 55.285 42.1256
167.056213 55.484 40.7076
168.266772 55.699 39.6154
169.486102 55.910 38.7939
170.714268 56.105 38.1552
171.951334 56.282 37.5854
173.197364 56.445 36.9916
174.452424 56.603 36.3367
175.716578 56.766 35.6564
176.989893 56.934 35.0365
178.272434 57.098 34.5303
179.564270 57.251 34.1055
180.865467 57.391 33.6853
182.176092 57.527 33.2145
183.496216 57.664 32.6933
184.825905 57.808 32.1645
186.165229 57.957 31.6620
187.514259 58.107 31.1775
188.873065 58.261 30.6854
190.241717 58.420 30.1820
191.620287 58.585 29.6914
193.008847 58.753 29.2405
194.407468 58.919 28.8293
195.816225 59.081 28.4332
197.235190 59.241 28.0342
198.664438 59.402 27.6355
200.104042 59.566 27.2505
201.554078 59.733 26.8922
203.014622 59.903 26.5742
204.485750 60.073 26.3123
205.967538 60.240 26.1059
207.460064 60.400 25.9227
208.963405 60.554 25.7280
210.477640 60.704 25.5186
212.002848 60.851 25.3004
213.539108 60.994 25.0597
215.086500 61.137 24.7753
216.645105 61.286 24.4479
218.215005 61.444 24.1052
219.796281 61.611 23.7819
221.389015 61.783 23.4983
222.993292 61.957 23.2546
224.609193 62.132 23.0438
226.236804 62.305 22.8659
227.876209 62.476 22.7242
229.527494 62.647 22.6165
231.190745 62.818 22.5443
232.866048 62.994 22.5286
234.553491 63.179 22.6151
236.253163 63.371 22.8616
237.965150 63.566 23.3142
239.689544 63.756 23.9795
241.426433 63.931 24.7977
243.175909 64.081 25.6270
244.938062 64.191 26.2114
246.712984 64.244 26.1307
248.500768 64.236 24.8598
250.301507 64.192 22.2073
252.115295 64.157 18.9438
253.942226 64.161 16.2616
255.782396 64.209 14.6492
257.635901 64.290 13.9195
259.502837 64.393 13.7087
261.383301 64.507 13.7280
263.277392 64.626 13.8066
265.185209 64.750 13.8667
267.106850 64.875 13.8904
269.042417 65.001 13.8875
270.992009 65.126 13.8678
272.955729 65.248 13.8368
274.933678 65.366 13.7952
276.925961 65.481 13.7398
278.932681 65.593 13.6662
280.953942 65.703 13.5745
282.989850 65.813 13.4703
285.040511 65.923 13.3579
287.106032 66.035 13.2391
289.186521 66.148 13.1133
291.282086 66.265 12.9794
293.392836 66.386 12.8395
295.518881 66.511 12.7000
297.660333 66.641 12.5687
299.817302 66.773 12.4481
301.989902 66.906 12.3276
304.178245 67.042 12.1918
306.382446 67.184 12.0389
308.602620 67.333 11.8815
310.838882 67.491 11.7360
313.091348 67.655 11.6133
315.360137 67.823 11.5128
317.645367 67.994 11.4264
319.947156 68.166 11.3477
322.265625 68.338 11.2732
324.600895 68.508 11.2001
326.953086 68.675 11.1265
329.322323 68.839 11.0528
331.708729 68.999 10.9772
334.112427 69.155 10.8917
336.533543 69.307 10.7853
338.972204 69.459 10.6493
341.428536 69.611 10.4795
343.902668 69.767 10.2792
346.394729 69.930 10.0664
348.904848 70.100 9.8784
351.433156 70.275 9.7566
353.979786 70.450 9.7087
356.544869 70.619 9.7056
359.128540 70.784 9.7142
361.730934 70.944 9.7150
364.352185 71.100 9.7001
366.992431 71.255 9.6677
369.651810 71.409 9.6198
372.330459 71.565 9.5612
375.028519 71.724 9.4972
377.746130 71.886 9.4316
380.483434 72.052 9.3665
383.240574 72.222 9.3022
386.017693 72.396 9.2415
388.814937 72.572 9.1865
391.632450 72.748 9.1360
394.470380 72.924 9.0858
397.328875 73.098 9.0314
400.208084 73.270 8.9674
