* Measurement data measured by REW V5.31.3
* Source: Microphone (Conexant ISST Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Aug 8, 2025 4:35:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Woofer Only 2 Aug 8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 500.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
500.603027 81.471 -145.6527
504.230603 81.529 -145.9884
507.884466 81.591 -146.3279
511.564806 81.657 -146.6718
515.271816 81.720 -147.0207
519.005688 81.777 -147.3757
522.766617 81.826 -147.7386
526.554799 81.866 -148.1109
530.370432 81.897 -148.4930
534.213715 81.920 -148.8833
538.084848 81.937 -149.2751
541.984033 81.950 -149.6545
545.911472 81.961 -150.0024
549.867372 81.966 -150.3074
553.851938 81.963 -150.5826
557.865377 81.954 -150.8600
561.907899 81.939 -151.1624
565.979716 81.923 -151.4951
570.081038 81.910 -151.8529
574.212080 81.900 -152.2269
578.373058 81.895 -152.6086
582.564187 81.894 -152.9929
586.785688 81.897 -153.3766
591.037779 81.900 -153.7579
595.320682 81.905 -154.1356
599.634621 81.908 -154.5086
603.979821 81.909 -154.8763
608.356507 81.908 -155.2382
612.764909 81.904 -155.5945
617.205257 81.899 -155.9463
621.677780 81.893 -156.2952
626.182714 81.887 -156.6435
630.720292 81.882 -156.9935
635.290751 81.878 -157.3482
639.894330 81.876 -157.7096
644.531268 81.875 -158.0751
649.201807 81.876 -158.4342
653.906191 81.876 -158.7715
658.644665 81.873 -159.0806
663.417476 81.866 -159.3676
668.224872 81.856 -159.6416
673.067105 81.842 -159.9095
677.944427 81.828 -160.1754
682.857091 81.813 -160.4419
687.805355 81.799 -160.7117
692.789476 81.785 -160.9878
697.809715 81.772 -161.2716
702.866331 81.760 -161.5610
707.959591 81.749 -161.8512
713.089758 81.739 -162.1386
718.257100 81.728 -162.4227
723.461887 81.718 -162.7057
728.704390 81.707 -162.9914
733.984882 81.697 -163.2833
739.303640 81.690 -163.5796
744.660938 81.686 -163.8699
750.057059 81.685 -164.1401
755.492281 81.685 -164.3822
760.966890 81.687 -164.5982
766.481169 81.689 -164.7952
772.035408 81.693 -164.9798
777.629895 81.697 -165.1566
783.264922 81.702 -165.3264
788.940782 81.708 -165.4881
794.657772 81.712 -165.6419
800.416190 81.713 -165.7899
806.216336 81.712 -165.9341
812.058512 81.709 -166.0761
817.943022 81.705 -166.2177
823.870175 81.701 -166.3609
829.840278 81.698 -166.5071
835.853642 81.699 -166.6546
841.910582 81.704 -166.7975
848.011413 81.712 -166.9278
854.156454 81.721 -167.0426
860.346023 81.729 -167.1503
866.580445 81.734 -167.2627
872.860045 81.737 -167.3862
879.185148 81.739 -167.5207
885.556086 81.742 -167.6636
891.973191 81.746 -167.8119
898.436796 81.752 -167.9636
904.947240 81.760 -168.1160
911.504860 81.772 -168.2642
918.110000 81.787 -168.4032
924.763004 81.804 -168.5289
931.464218 81.824 -168.6390
938.213991 81.845 -168.7315
945.012677 81.865 -168.8065
951.860628 81.884 -168.8683
958.758203 81.901 -168.9276
965.705760 81.917 -168.9957
972.703662 81.931 -169.0792
979.752274 81.945 -169.1808
986.851962 81.960 -169.3018
994.003098 81.977 -169.4433
1001.206055 81.996 -169.6059
1008.461206 82.019 -169.7896
1015.768932 82.047 -169.9945
1023.129613 82.080 -170.2205
1030.543631 82.118 -170.4675
1038.011375 82.161 -170.7360
1045.533234 82.209 -171.0255
1053.109599 82.262 -171.3305
1060.740865 82.319 -171.6393
1068.427430 82.379 -171.9415
1076.169696 82.440 -172.2329
1083.968065 82.500 -172.5144
1091.822945 82.559 -172.7890
1099.734744 82.614 -173.0619
1107.703875 82.665 -173.3393
1115.730754 82.711 -173.6280
1123.815799 82.751 -173.9352
1131.959431 82.786 -174.2679
1140.162076 82.818 -174.6308
1148.424161 82.847 -175.0233
1156.746115 82.876 -175.4396
1165.128375 82.907 -175.8749
1173.571375 82.940 -176.3278
1182.075557 82.975 -176.7973
1190.641364 83.013 -177.2802
1199.269242 83.053 -177.7712
1207.959641 83.095 -178.2642
1216.713015 83.138 -178.7522
1225.529819 83.181 -179.2284
1234.410513 83.222 -179.6871
1243.355561 83.260 179.8734
1252.365427 83.292 179.4474
1261.440584 83.319 179.0234
1270.581502 83.340 178.5904
1279.788659 83.356 178.1415
1289.062536 83.369 177.6725
1298.403614 83.378 177.1809
1307.812382 83.385 176.6667
1317.289330 83.391 176.1326
1326.834951 83.396 175.5833
1336.449744 83.403 175.0245
1346.134210 83.409 174.4621
1355.888853 83.417 173.9020
1365.714183 83.426 173.3531
1375.610711 83.435 172.8245
1385.578953 83.443 172.3224
1395.619429 83.449 171.8473
1405.732663 83.451 171.3949
1415.919181 83.449 170.9572
1426.179515 83.442 170.5245
1436.514200 83.430 170.0883
1446.923774 83.413 169.6414
1457.408780 83.392 169.1772
1467.969765 83.367 168.6909
1478.607279 83.340 168.1828
1489.321877 83.310 167.6608
1500.114117 83.279 167.1371
1510.984562 83.245 166.6247
1521.933779 83.208 166.1340
1532.962339 83.165 165.6716
1544.070816 83.116 165.2397
1555.259790 83.058 164.8356
1566.529843 82.991 164.4490
1577.881564 82.913 164.0623
1589.315544 82.828 163.6570
1600.832380 82.738 163.2189
1612.432671 82.645 162.7400
1624.117023 82.553 162.2200
1635.886045 82.463 161.6653
1647.740349 82.375 161.0880
1659.680555 82.289 160.5051
1671.707285 82.203 159.9340
1683.821165 82.115 159.3859
1696.022827 82.022 158.8609
1708.312907 81.921 158.3493
1720.692047 81.812 157.8351
1733.160891 81.694 157.3001
1745.720089 81.569 156.7292
1758.370297 81.438 156.1143
1771.112173 81.303 155.4554
1783.946381 81.166 154.7608
1796.873592 81.030 154.0473
1809.894479 80.895 153.3371
1823.009721 80.760 152.6506
1836.220000 80.623 152.0001
1849.526008 80.482 151.3880
1862.928435 80.334 150.8083
1876.427983 80.177 150.2477
1890.025353 80.009 149.6875
1903.721256 79.832 149.1108
1917.516405 79.649 148.5108
1931.411520 79.463 147.8955
1945.407324 79.278 147.2885
1959.504547 79.095 146.7253
1973.703925 78.915 146.2437
1988.006197 78.733 145.8705
2002.412109 78.544 145.6124
2016.922413 78.345 145.4572
2031.537864 78.134 145.3806
2046.259225 77.914 145.3573
2061.087263 77.690 145.3743
2076.022751 77.468 145.4377
2091.066467 77.253 145.5732
2106.219197 77.051 145.8193
2121.481730 76.862 146.2158
2136.854861 76.685 146.7909
2152.339392 76.519 147.5521
2167.936130 76.359 148.4835
2183.645889 76.206 149.5468
2199.469488 76.061 150.6906
2215.407750 75.929 151.8671
2231.461508 75.818 153.0474
2247.631598 75.734 154.2276
2263.918863 75.680 155.4238
2280.324152 75.653 156.6591
2296.848321 75.647 157.9435
2313.492231 75.650 159.2576
2330.256749 75.656 160.5522
2347.142750 75.659 161.7619
2364.151114 75.662 162.8257
2381.282728 75.668 163.7068
2398.538484 75.683 164.4039
2415.919282 75.710 164.9513
2433.426030 75.749 165.4025
2451.059638 75.792 165.8049
2468.821026 75.831 166.1757
2486.711121 75.857 166.4934
2504.730855 75.870 166.7116
2522.881167 75.872 166.7879
2541.163004 75.871 166.7098
2559.577319 75.875 166.5038
2578.125071 75.887 166.2275
2596.807228 75.904 165.9456
2615.624764 75.920 165.6991
2634.578659 75.924 165.4869
2653.669902 75.911 165.2719
2672.899488 75.884 165.0069
2692.268420 75.849 164.6672
2711.777706 75.814 164.2734
2731.428365 75.782 163.8849
2751.221421 75.751 163.5672
2771.157906 75.712 163.3524
2791.238858 75.656 163.2220
2811.465326 75.580 163.1205
2831.838363 75.488 162.9913
2852.359031 75.389 162.8107
2873.028400 75.293 162.6021
2893.847548 75.207 162.4204
2914.817560 75.129 162.3112
2935.939530 75.054 162.2751
2957.214558 74.977 162.2636
2978.643754 74.899 162.2121
3000.228234 74.826 162.0836
3021.969125 74.766 161.8947
3043.867559 74.719 161.7028
3065.924678 74.682 161.5617
3088.141632 74.641 161.4777
3110.519579 74.589 161.4017
3133.059686 74.522 161.2635
3155.763128 74.444 161.0252
3178.631089 74.360 160.7151
3201.664760 74.270 160.4113
3224.865343 74.164 160.1847
3248.234046 74.032 160.0502
3271.772089 73.865 159.9688
3295.480699 73.666 159.8979
3319.361110 73.444 159.8502
3343.414569 73.208 159.9092
3367.642329 72.958 160.1853
3392.045654 72.687 160.7440
3416.625815 72.390 161.5700
3441.384094 72.070 162.6003
3466.321782 71.743 163.7969
3491.440178 71.430 165.1913
3516.740593 71.146 166.8536
3542.224345 70.890 168.8052
3567.892763 70.657 170.9595
3593.747185 70.449 173.1479
3619.788958 70.278 175.2155
3646.019441 70.158 177.0967
3672.440001 70.093 178.8082
3699.052015 70.064 -179.6303
3725.856871 70.049 -178.2621
3752.855966 70.031 -177.1743
3780.050707 70.007 -176.4067
3807.442513 69.980 -175.8866
3835.032810 69.943 -175.4627
3862.823039 69.879 -175.0103
3890.814647 69.774 -174.4918
3919.009094 69.626 -173.9076
3947.407849 69.450 -173.1946
3976.012394 69.261 -172.1883
4004.824219 69.071 -170.6997
4033.844826 68.885 -168.6237
4063.075728 68.723 -165.9631
4092.518450 68.624 -162.7598
4122.174526 68.634 -159.0389
4152.045502 68.779 -154.8520
4182.132935 69.061 -150.3794
4212.438394 69.465 -145.9473
4242.963459 69.978 -141.9026
4273.709721 70.582 -138.4561
4304.678784 71.245 -135.6442
4335.872261 71.930 -133.4279
4367.291779 72.607 -131.7898
4398.938975 73.260 -130.7203
4430.815500 73.886 -130.1465
4462.923016 74.477 -129.9279
4495.263196 75.020 -129.9394
4527.837726 75.505 -130.1319
4560.648305 75.931 -130.4943
4593.696642 76.299 -130.9787
4626.984462 76.609 -131.5024
4660.513498 76.853 -132.0167
4694.285500 77.031 -132.5303
4728.302228 77.152 -133.0498
4762.565455 77.225 -133.5321
4797.076968 77.256 -133.9202
4831.838565 77.250 -134.1996
4866.852059 77.217 -134.3843
4902.119275 77.174 -134.4636
4937.642052 77.135 -134.4056
4973.422242 77.111 -134.2155
5009.461710 77.115 -133.9510
5045.762334 77.166 -133.6745
5082.326008 77.276 -133.4292
5119.154637 77.452 -133.2793
5156.250142 77.692 -133.3306
5193.614456 77.996 -133.6840
5231.249528 78.356 -134.3947
5269.157318 78.758 -135.4968
5307.339804 79.186 -137.0288
5345.798976 79.629 -139.0087
5384.536839 80.074 -141.4129
5423.555413 80.506 -144.2075
5462.856731 80.916 -147.3732
5502.442843 81.293 -150.8817
5542.315812 81.627 -154.6823
5582.477717 81.910 -158.7298
5622.930652 82.132 -162.9981
5663.676725 82.288 -167.4518
5704.718061 82.371 -172.0409
5746.056800 82.375 -176.7271
5787.695096 82.295 178.5205
5829.635121 82.129 173.7509
5871.879060 81.872 169.0195
5914.429116 81.522 164.3716
5957.287508 81.076 159.8687
6000.456469 80.534 155.6000
6043.938250 79.893 151.6556
6087.735118 79.156 148.1357
6131.849356 78.327 145.1826
6176.283264 77.414 142.9594
6221.039159 76.433 141.6157
6266.119373 75.411 141.2896
6311.526257 74.386 142.0547
6357.262178 73.408 143.8012
6403.329520 72.530 146.1994
6449.730685 71.795 148.7711
6496.468093 71.208 151.0034
6543.544179 70.737 152.5190
6590.961397 70.326 153.2191
6638.722220 69.904 153.2378
6686.829138 69.413 152.8423
6735.284659 68.814 152.4615
6784.091308 68.091 152.7186
6833.251630 67.256 154.4529
6882.768188 66.374 158.8676
6932.643563 65.579 167.3956
6982.880357 65.060 -179.6822
7033.481186 64.977 -165.4062
7084.448690 65.327 -154.2721
7135.785526 65.941 -147.8042
7187.494369 66.630 -145.0342
7239.577916 67.268 -144.5854
7292.038882 67.793 -145.4391
7344.880002 68.186 -146.9528
7398.104030 68.458 -148.6887
7451.713742 68.624 -150.3764
7505.711931 68.712 -151.8799
7560.101414 68.742 -153.1240
7614.885025 68.731 -154.1109
7670.065621 68.686 -154.8766
7725.646078 68.607 -155.4089
7781.629294 68.490 -155.6399
7838.018188 68.337 -155.3868
7894.815699 68.163 -154.3463
