* Measurement data measured by REW V5.31.3
* Source: Microphone (Conexant ISST Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Aug 8, 2025 2:05:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Woofer Only 2 Aug 8
* Smoothing: 1/12 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 73.157 -39.7040
20.287556 73.148 -39.7925
20.434568 73.134 -39.9205
20.582645 73.117 -40.0730
20.731796 73.096 -40.2380
20.882027 73.073 -40.4075
21.033346 73.047 -40.5776
21.185763 73.019 -40.7473
21.339284 72.989 -40.9178
21.493917 72.956 -41.0912
21.649671 72.922 -41.2705
21.806553 72.886 -41.4586
21.964572 72.849 -41.6578
22.123737 72.812 -41.8703
22.284054 72.776 -42.0970
22.445534 72.741 -42.3377
22.608183 72.709 -42.5915
22.772012 72.681 -42.8560
22.937027 72.657 -43.1282
23.103238 72.637 -43.4039
23.270654 72.621 -43.6790
23.439282 72.607 -43.9489
23.609133 72.595 -44.2097
23.780215 72.584 -44.4579
23.952536 72.575 -44.6912
24.126106 72.567 -44.9089
24.300934 72.562 -45.1115
24.477028 72.560 -45.3012
24.654399 72.560 -45.4816
24.833055 72.561 -45.6576
25.013005 72.562 -45.8351
25.194260 72.563 -46.0205
25.376828 72.562 -46.2201
25.560719 72.559 -46.4400
25.745942 72.554 -46.6852
25.932508 72.548 -46.9592
26.120426 72.544 -47.2638
26.309705 72.544 -47.5987
26.500356 72.549 -47.9611
26.692388 72.560 -48.3466
26.885812 72.578 -48.7484
27.080638 72.604 -49.1586
27.276876 72.635 -49.5685
27.474535 72.674 -49.9692
27.673627 72.717 -50.3522
27.874161 72.765 -50.7102
28.076149 72.816 -51.0374
28.279600 72.869 -51.3301
28.484526 72.923 -51.5864
28.690937 72.976 -51.8066
28.898843 73.028 -51.9929
29.108256 73.076 -52.1493
29.319186 73.121 -52.2811
29.531645 73.161 -52.3950
29.745644 73.197 -52.4983
29.961193 73.227 -52.5991
30.178304 73.251 -52.7055
30.396989 73.271 -52.8258
30.617258 73.287 -52.9674
30.839123 73.299 -53.1369
31.062596 73.309 -53.3395
31.287688 73.317 -53.5787
31.514412 73.326 -53.8554
31.742778 73.337 -54.1684
31.972800 73.352 -54.5137
32.204488 73.371 -54.8852
32.437855 73.395 -55.2748
32.672913 73.426 -55.6735
32.909674 73.464 -56.0721
33.148151 73.508 -56.4622
33.388356 73.559 -56.8369
33.630302 73.615 -57.1917
33.874001 73.674 -57.5244
34.119466 73.735 -57.8349
34.366710 73.794 -58.1249
34.615745 73.851 -58.3971
34.866585 73.904 -58.6543
35.119243 73.955 -58.8992
35.373731 74.003 -59.1340
35.630064 74.049 -59.3603
35.888254 74.093 -59.5802
36.148315 74.135 -59.7962
36.410261 74.175 -60.0125
36.674104 74.215 -60.2348
36.939860 74.255 -60.4700
37.207542 74.295 -60.7257
37.477163 74.338 -61.0074
37.748738 74.384 -61.3173
38.022281 74.434 -61.6516
38.297806 74.489 -62.0000
38.575327 74.549 -62.3455
38.854860 74.613 -62.6673
39.136419 74.680 -62.9445
39.420017 74.748 -63.1614
39.705671 74.813 -63.3123
39.993395 74.870 -63.4051
40.283203 74.917 -63.4614
40.575112 74.951 -63.5145
40.869136 74.974 -63.6033
41.165290 74.989 -63.7645
41.463591 75.001 -64.0222
41.764053 75.019 -64.3797
42.066693 75.049 -64.8141
42.371525 75.097 -65.2777
42.678567 75.164 -65.7088
42.987834 75.245 -66.0480
43.299341 75.332 -66.2563
43.613106 75.414 -66.3287
43.929145 75.482 -66.2987
44.247473 75.529 -66.2325
44.568109 75.558 -66.2137
44.891068 75.574 -66.3192
45.216367 75.594 -66.5912
45.544023 75.634 -67.0106
45.874054 75.711 -67.4836
46.206476 75.832 -67.8526
46.541307 75.990 -67.9369
46.878565 76.165 -67.5867
47.218266 76.326 -66.7289
47.560429 76.440 -65.3870
47.905072 76.477 -63.6786
48.252212 76.411 -61.8023
48.601867 76.228 -60.0250
48.954056 75.926 -58.6725
49.308798 75.520 -58.1151
49.666109 75.054 -58.7246
50.026010 74.598 -60.7647
50.388520 74.243 -64.1998
50.753656 74.076 -68.5213
51.121437 74.128 -72.8424
51.491884 74.361 -76.3223
51.865016 74.691 -78.5507
52.240851 75.030 -79.5747
52.619410 75.319 -79.7025
53.000712 75.529 -79.3148
53.384777 75.658 -78.7578
53.771625 75.723 -78.2925
54.161276 75.750 -78.0709
54.553751 75.767 -78.1306
54.949070 75.798 -78.4109
55.347254 75.853 -78.7962
55.748323 75.930 -79.1705
56.152298 76.018 -79.4628
56.559201 76.105 -79.6617
56.969052 76.185 -79.8019
57.381873 76.255 -79.9339
57.797686 76.318 -80.0953
58.216512 76.381 -80.2943
58.638373 76.447 -80.5117
59.063291 76.516 -80.7155
59.491288 76.586 -80.8812
59.922386 76.652 -81.0052
60.356608 76.711 -81.1054
60.793977 76.761 -81.2114
61.234515 76.805 -81.3493
61.678246 76.845 -81.5309
62.125192 76.887 -81.7503
62.575377 76.931 -81.9908
63.028824 76.977 -82.2353
63.485557 77.023 -82.4765
63.945599 77.067 -82.7193
64.408975 77.110 -82.9764
64.875709 77.152 -83.2601
65.345825 77.196 -83.5740
65.819348 77.244 -83.9108
66.296302 77.297 -84.2542
66.776713 77.355 -84.5859
67.260604 77.417 -84.8918
67.748002 77.479 -85.1663
68.238932 77.541 -85.4119
68.733420 77.601 -85.6366
69.231490 77.658 -85.8499
69.733170 77.712 -86.0600
70.238485 77.764 -86.2720
70.747463 77.814 -86.4884
71.260128 77.863 -86.7104
71.776508 77.911 -86.9388
72.296630 77.958 -87.1751
72.820521 78.004 -87.4209
73.348209 78.049 -87.6771
73.879720 78.096 -87.9435
74.415083 78.142 -88.2184
74.954326 78.190 -88.4995
75.497475 78.239 -88.7847
76.044561 78.289 -89.0723
76.595612 78.341 -89.3597
77.150655 78.394 -89.6432
77.709720 78.449 -89.9177
78.272837 78.504 -90.1791
78.840034 78.559 -90.4258
79.411342 78.614 -90.6605
79.986789 78.668 -90.8885
80.566406 78.722 -91.1147
81.150224 78.776 -91.3418
81.738272 78.830 -91.5714
82.330581 78.884 -91.8069
82.927182 78.938 -92.0559
83.528107 78.989 -92.3290
84.133386 79.040 -92.6332
84.743051 79.092 -92.9659
85.357134 79.147 -93.3122
85.975667 79.205 -93.6502
86.598682 79.266 -93.9619
87.226212 79.328 -94.2422
87.858289 79.389 -94.5005
88.494946 79.449 -94.7549
89.136217 79.510 -95.0210
89.782135 79.573 -95.3050
90.432733 79.640 -95.6029
91.088046 79.710 -95.9050
91.748108 79.781 -96.2024
92.412952 79.853 -96.4907
93.082615 79.921 -96.7698
93.757130 79.987 -97.0427
94.436533 80.049 -97.3146
95.120859 80.109 -97.5918
95.810144 80.167 -97.8805
96.504423 80.225 -98.1848
97.203734 80.285 -98.5050
97.908112 80.347 -98.8371
98.617595 80.411 -99.1741
99.332219 80.475 -99.5066
100.052021 80.539 -99.8250
100.777039 80.603 -100.1207
101.507311 80.664 -100.3896
102.242875 80.722 -100.6349
102.983769 80.775 -100.8667
103.730032 80.824 -101.0993
104.481702 80.870 -101.3446
105.238820 80.914 -101.6084
106.001424 80.958 -101.8892
106.769554 81.003 -102.1807
107.543250 81.049 -102.4759
108.322553 81.095 -102.7709
109.107503 81.141 -103.0659
109.898141 81.187 -103.3644
110.694508 81.233 -103.6697
111.496646 81.280 -103.9810
112.304596 81.329 -104.2939
113.118402 81.378 -104.6029
113.938104 81.428 -104.9053
114.763747 81.478 -105.2024
115.595372 81.528 -105.4977
116.433024 81.580 -105.7935
117.276746 81.633 -106.0886
118.126581 81.688 -106.3784
118.982575 81.746 -106.6586
119.844772 81.804 -106.9290
120.713217 81.862 -107.1949
121.587954 81.919 -107.4638
122.469031 81.974 -107.7403
123.356492 82.027 -108.0241
124.250384 82.076 -108.3139
125.150753 82.123 -108.6110
126.057647 82.167 -108.9189
126.971113 82.210 -109.2394
127.891198 82.253 -109.5705
128.817950 82.297 -109.9073
129.751418 82.341 -110.2434
130.691651 82.384 -110.5729
131.638696 82.426 -110.8933
132.592604 82.464 -111.2068
133.553425 82.499 -111.5180
134.521208 82.529 -111.8310
135.496004 82.556 -112.1476
136.477864 82.582 -112.4659
137.466839 82.605 -112.7821
138.462981 82.628 -113.0929
139.466340 82.649 -113.3958
140.476971 82.670 -113.6888
141.494925 82.691 -113.9698
142.520256 82.714 -114.2316
143.553016 82.742 -114.4549
144.593260 82.775 -114.6102
145.641043 82.810 -114.6666
146.696418 82.839 -114.5998
147.759441 82.848 -114.4184
148.830166 82.824 -114.2134
149.908651 82.765 -114.1588
150.994951 82.690 -114.4063
152.089123 82.625 -114.9604
153.191223 82.593 -115.6834
154.301310 82.596 -116.4218
155.419441 82.627 -117.0915
156.545674 82.678 -117.6685
157.680069 82.740 -118.1596
158.822683 82.807 -118.5874
159.973578 82.877 -118.9741
161.132813 82.946 -119.3342
162.300447 83.015 -119.6780
163.476543 83.083 -120.0133
164.661162 83.149 -120.3451
165.854364 83.214 -120.6771
167.056213 83.278 -121.0108
168.266772 83.341 -121.3452
169.486102 83.403 -121.6769
170.714268 83.463 -122.0032
171.951334 83.520 -122.3233
173.197364 83.573 -122.6398
174.452424 83.621 -122.9581
175.716578 83.665 -123.2830
176.989893 83.705 -123.6156
178.272434 83.742 -123.9526
179.564270 83.778 -124.2899
180.865467 83.813 -124.6241
182.176092 83.847 -124.9539
183.496216 83.881 -125.2800
184.825905 83.914 -125.6037
186.165229 83.948 -125.9257
187.514259 83.984 -126.2468
188.873065 84.020 -126.5687
190.241717 84.058 -126.8928
191.620287 84.097 -127.2194
193.008847 84.136 -127.5478
194.407468 84.173 -127.8780
195.816225 84.209 -128.2113
197.235190 84.242 -128.5476
198.664438 84.274 -128.8851
200.104042 84.305 -129.2211
201.554078 84.337 -129.5530
203.014622 84.370 -129.8788
204.485750 84.404 -130.1978
205.967538 84.440 -130.5101
207.460064 84.476 -130.8171
208.963405 84.512 -131.1214
210.477640 84.546 -131.4266
212.002848 84.578 -131.7358
213.539108 84.610 -132.0502
215.086500 84.641 -132.3692
216.645105 84.674 -132.6904
218.215005 84.709 -133.0108
219.796281 84.745 -133.3287
221.389015 84.783 -133.6441
222.993292 84.820 -133.9573
224.609193 84.857 -134.2676
226.236804 84.892 -134.5736
227.876209 84.924 -134.8746
229.527494 84.950 -135.1722
231.190745 84.972 -135.4692
232.866048 84.989 -135.7690
234.553491 85.002 -136.0744
236.253163 85.012 -136.3880
237.965150 85.018 -136.7133
239.689544 85.023 -137.0558
241.426433 85.027 -137.4239
243.175909 85.031 -137.8268
244.938062 85.039 -138.2669
246.712984 85.053 -138.7266
248.500768 85.075 -139.1585
250.301507 85.101 -139.4991
252.115295 85.122 -139.7205
253.942226 85.130 -139.8601
255.782396 85.124 -139.9772
257.635901 85.107 -140.1116
259.502837 85.084 -140.2778
261.383301 85.058 -140.4741
263.277392 85.031 -140.6922
265.185209 85.005 -140.9238
267.106850 84.978 -141.1628
269.042417 84.953 -141.4054
270.992009 84.928 -141.6487
272.955729 84.903 -141.8897
274.933678 84.879 -142.1271
276.925961 84.855 -142.3600
278.932681 84.830 -142.5886
280.953942 84.807 -142.8134
282.989850 84.783 -143.0355
285.040511 84.761 -143.2555
287.106032 84.741 -143.4725
289.186521 84.723 -143.6847
291.282086 84.709 -143.8896
293.392836 84.699 -144.0857
295.518881 84.693 -144.2726
297.660333 84.690 -144.4515
299.817302 84.690 -144.6240
301.989902 84.693 -144.7908
304.178245 84.700 -144.9524
306.382446 84.710 -145.1083
308.602620 84.726 -145.2580
310.838882 84.746 -145.4008
313.091348 84.772 -145.5370
315.360137 84.803 -145.6680
317.645367 84.838 -145.7955
319.947156 84.876 -145.9201
322.265625 84.917 -146.0412
324.600895 84.958 -146.1572
326.953086 84.999 -146.2659
329.322323 85.039 -146.3653
331.708729 85.076 -146.4536
334.112427 85.112 -146.5303
